item_id,fact_no,status,note
FL001,1,present,
FL002,1,present,
FL002,2,present,
FL002,3,present,
FL003,1,contradicted,"It says that the Home Office may refuse the student’s visa application, potentially requiring them to leave the UK, rather than saying they are referred to the UKVI Attendance Compliance Panel."
FL004,1,present,
FL004,2,present,
FL004,3,present,
FL005,1,present,
FL005,2,present,
FL006,1,present,
FL006,2,present,
FL007,1,present,
FL007,2,present,
FL008,1,present,
FL009,1,present,
FL010,1,present,
FL011,1,present,
FL011,2,present,
FL011,3,present,
FL012,1,present,
FL012,2,present,
FL013,1,present,
FL013,2,present,
FL014,1,present,
FL014,2,present,
FL014,3,present,
FL015,1,missing,
FL015,2,missing,
FL016,1,present,
FL016,2,present,
FL016,3,present,
FL017,1,present,
FL017,2,present,
FL017,3,present,
FL018,1,present,
FL018,2,present,
FL018,3,present,
FL019,1,present,
FL019,2,present,
FL019,3,present,
FL020,1,missing,
FL020,2,missing,
FL020,3,missing,
FL021,1,missing,
FL021,2,missing,
FL021,3,missing,
FL022,1,present,
FL023,1,present,
FL024,1,present,
FL024,2,present,
FL025,1,missing,
FL025,2,missing,
FL025,3,missing,
FL025,4,missing,
FL026,1,present,
FL026,2,missing,
FL026,3,missing,
FL027,1,missing,
FL027,2,missing,
FL027,3,missing,
FL028,1,missing,
FL028,2,missing,
FL029,1,present,
FL029,2,missing,
FL029,3,missing,
FL030,1,present,
FL030,2,present,
FL030,3,present,
FL031,1,present,
FL031,2,present,
FL031,3,present,
FL031,4,present,
FL032,1,missing,
FL032,2,missing,
FL033,1,present,
FL033,2,present,
FL034,1,missing,
FL035,1,missing,
FL035,2,missing,
FL035,3,missing,
FL036,1,present,
FL036,2,present,
FL036,3,missing,
FL037,1,present,
FL037,2,present,
FL038,1,present,
FL038,2,present,
FL039,1,present,
FL039,2,missing,
FL040,1,present,
FL040,2,missing,
FL040,3,present,
FL041,1,present,
FL042,1,missing,
FL042,2,missing,
FL043,1,present,
FL043,2,present,
FL044,1,missing,
FL044,2,present,
FL044,3,missing,
FL045,1,present,
FL046,1,present,
FL047,1,present,
FL047,2,present,
FL048,1,missing,
FL048,2,missing,
FL049,1,present,
FL049,2,present,
FL050,1,present,
FL050,2,missing,
FL051,1,missing,
FL052,1,present,
FL052,2,missing,
FL053,1,missing,
FL053,2,missing,
FL054,1,present,
FL054,2,missing,
FL055,1,present,
FL055,2,present,
FL056,1,present,
FL056,2,present,
FL057,1,present,
FL058,1,missing,
FL058,2,missing,
FL058,3,missing,
FL059,1,present,
FL059,2,present,
FL059,3,present,
FL060,1,present,
FL060,2,present,
FL061,1,present,
FL061,2,missing,
FL062,1,present,
FL062,2,missing,
FL062,3,present,
FL063,1,contradicted,c
FL063,2,missing,
FL063,3,contradicted,"The answer says the student should remain registered as a full-time student and avoid prolonged periods of non-enrollment, but it does not mention where they should live."
FL064,1,missing,
FL064,2,missing,
FL065,1,present,
FL065,2,missing,
FL066,1,present,
FL066,2,present,
FL067,1,present,
FL067,2,present,
FL067,3,missing,
FL067,4,present,
FL068,1,present,
FL068,2,present,
FL069,1,present,
FL069,2,present,
FL070,1,present,
FL070,2,present,
FL071,1,missing,
FL071,2,present,
FL072,1,present,
FL073,1,present,
FL073,2,present,
FL073,3,present,
FL074,1,missing,
FL074,2,missing,
FL075,1,present,
FL075,2,present,
FL076,1,contradicted,"The answer says there is no general classification provided, whereas the fact states it is classified as Category 1 or Category 2."
FL077,1,contradicted,says it is potentially Category 1 and describes it as a serious breach.
FL077,2,present,
FL078,1,present,
FL079,1,present,
FL079,2,missing,
FL080,1,present,
FL080,2,present,
FL081,1,present,
FL081,2,present,
FL082,1,missing,
FL082,2,present,
FL082,3,present,
FL083,1,present,
FL083,2,present,
FL083,3,missing,
FL084,1,present,
FL084,2,present,
FL084,3,missing,
FL085,1,present,
FL085,2,missing,
FL086,1,present,
FL086,2,present,
FL087,1,missing,
FL087,2,missing,
FL088,1,present,
FL088,2,present,
FL088,3,missing,
FL089,1,present,
FL089,2,present,
FL089,3,present,
FL090,1,missing,
FL091,1,present,
FL091,2,present,
FL092,1,present,
FL092,2,present,
FL093,1,missing,
FL093,2,present,
FL093,3,present,
FL094,1,present,
FL094,2,present,
FL095,1,present,
FL095,2,present,
FL095,3,present,
FL096,1,missing,
FL096,2,present,
FL097,1,missing,
FL098,1,missing,
FL098,2,missing,
FL098,3,missing,
FL099,1,missing,
FL099,2,missing,
FL100,1,present,
FL100,2,present,
FL100,3,missing,
FL100,4,present,
FL101,1,present,
FL101,2,missing,
FL102,1,present,
FL102,2,present,
FL103,1,present,
FL103,2,present,
FL104,1,present,
FL104,2,present,
FL104,3,missing,
FL105,1,present,
FL105,2,missing,
FL105,3,present,
FL106,1,present,
FL106,2,present,
FL107,1,missing,
FL107,2,missing,
FL108,1,present,
FL108,2,present,
FL109,1,present,
FL109,2,missing,
FL109,3,missing,
FL110,1,present,
FL110,2,present,
FL110,3,missing,
FL111,1,present,
FL111,2,missing,
FL112,1,present,
FL112,2,missing,
FL112,3,present,
FL113,1,contradicted,"he key fact says abusive behaviour in an intimate relationship may be Category 2 or 3 with an increased sanction, while the answer says it may be Category 1."
FL113,2,missing,
FL114,1,missing,
FL115,1,missing,
FL115,2,missing,
FL116,1,missing,
FL116,2,missing,
FL116,3,missing,
FL117,1,missing,
FL117,2,present,
FL117,3,present,
FL118,1,present,
FL118,2,present,
FL119,1,missing,
FL119,2,missing,
FL120,1,missing,
FL120,2,missing,
FL120,3,missing,
FL121,1,missing,
FL121,2,missing,
FL121,3,missing,
FL122,1,present,
FL122,2,missing,
FL123,1,missing,
FL123,2,missing,
FL124,1,missing,
FL125,1,present,
FL125,2,present,
FL125,3,missing,
FL126,1,present,
FL126,2,present,
FL127,1,contradicted,"The key fact says the protection applies for 26 weeks in the non-work context, while the answer says 12 weeks (although it qualifies this as applying to employment contexts and expresses uncertainty about non-work contexts)."
FL127,2,missing,
FL128,1,missing,
FL129,1,missing,
FL129,2,missing,
FL129,3,missing,
FL130,1,present,
FL131,1,missing,
FL131,2,present,
FL132,1,present,
FL133,1,present,
FL134,1,present,
FL134,2,missing,
FL134,3,missing,
FL135,1,contradicted,"The key fact says eligible challenges to Board of Examiners decisions are made through the assessment-appeal process, while the answer says the route is the Formal Complaint Review process."
FL136,1,missing,
FL136,2,missing,
FL136,3,present,
FL137,1,present,
FL137,2,present,
FL138,1,missing,
FL138,2,present,
FL139,1,present,
FL140,1,missing,
FL141,1,present,
FL141,2,present,
FL141,3,present,
FL142,1,present,
FL142,2,missing,
FL143,1,contradicted,"The key fact says abusive behaviour in an intimate relationship may be Category 2 or 3, whereas the answer says it may be a Category 1 breach."
FL143,2,missing,
FL144,1,missing,
FL144,2,missing,
FL145,1,present,
FL146,1,present,
FL146,2,present,
FL147,1,present,
