item_id,question,claim,evidence,human_label,notes
RV001,How do the Undergraduate and Postgraduate Handbooks differ in the award requirements described in these sections?,"These differences highlight that undergraduate awards emphasize module completion for honours classification, while postgraduate awards have defined duration and credit management requirements.","[1] (University of Liverpool Postgraduate Handbook, page 1)
YOUR UNIVERSITY HANDBOOK FOR POSTGRADUATE STUDENTS

[2] (University of Liverpool Postgraduate Handbook, page 24)
s of each entry award will over a period of no more than one year module on a standalone basis outwith award; this is necessary in order to avoid be clearly articulated in the programme Postgraduate Award. Minimum of eight an award; or credit being counted twice for two different specification. weeks and a maximum of two years. A In the case of research or independent awards. programme of 30 credits would normally study modules which contribute to an be studied full-time over eight weeks and award, or part-time over a period of no more than Where a non-modular non-semesterised six months. programme has a duration in excess of one year. Your University – Handbook for Postgraduate Students44 / /45

[3] (University of Liverpool Undergraduate Handbook, page 30)
e. modules have been passed, you will be considered for the award of a classified honours degree. Your University – Handbook for Undergraduate Students56 / /57

[4] (University of Liverpool Postgraduate Handbook, page 21)
ur University – Handbook for Postgraduate Students38 / /39

[5] (University of Liverpool Undergraduate Handbook, page 1)
YOUR UNIVERSITY HANDBOOK FOR UNDERGRADUATE STUDENTS",entailed,
RV002,How do monitoring expectations differ for a postgraduate student working on a dissertation and a Student Route student studying abroad?,"Additionally, during study abroad periods, the University?s standard attendance expectations and intervention thresholds do not apply.","[1] (Policy on UKVI Compliance — Student Route, page 10)
eriod of study abroad as an integral part of their programme are permitted to remain on their existing Student Route visa and will continue to be sponsored by the University for the duration of their study abroad. 9.2 Whilst the responsibility for monitoring the engagement of those studying abroad as part of their programme of study falls to the Dean of School, in accordance with the Student Attendance Policy, the responsibility for investigating any UKVI compliance risk for those international students studying abroad will fall to the Global Opportunities Team in Student Recruitment, Admissions and Widening Participation. 9.3 Following such a risk assessment, where it is identified and/or suspected that the required monitoring duties cannot be fulfilled at the study abroad location for an

[2] (Policy on UKVI Compliance — Student Route, page 10)
a risk assessment, where it is identified and/or suspected that the required monitoring duties cannot be fulfilled at the study abroad location for any given Student Route visa holder, the University reserves the right to withdraw its current sponsorship of the student (so cancelling their UK Student Route visa). Subsequent resumption of study would require the student to be issued with a new CAS in order to apply for a new Student Route visa to enter the UK. 10. Work placements 10.1 Student Route visa holders undertaking work placements as an integral and assessed part of their programme, whether based within or outside of the UK, are permitted to retain their existing Student Route visa and will continue to be sponsored by the University for the duration of their placement(s). 10.2 Respo",unsupported,
RV003,What can support an extenuating-circumstances claim when no independent documentary evidence is available?,"states that ""in some cases where it is accepted that independent documentary evidence is not available, less independent evidence may be acceptable."" This directly addresses the scenario where independent evidence is unavailable.","[1] (University of Liverpool Extenuating Circumstances Policy, page 6)
ded, it is at the discretion of the Extenuating Circumstances Committee to decide whether it is more likely than not the claimed circumstances have occurred. If the original documentation is provided in a language other than English then you must provide an independent translation. If documentary evidence relating to illness is provided by someone other than a medical practitioner (as recognised by the GMC) the documentation must include details of that person’s qualifications or standing; the evidence will still need to be accepted by the Extenuating Circumstances Committee and it will be for the Board of Examiners to make a judgement as to value or weight they attached to the evidence in deciding a case of extenuating circumstances You need to be aware that some services (e.g. doctors) m

[2] (University of Liverpool Extenuating Circumstances Policy, page 6)
value or weight they attached to the evidence in deciding a case of extenuating circumstances You need to be aware that some services (e.g. doctors) may make a charge for the provision of a letter, statement or other evidence and that this will not be reimbursed by the University. The Extenuating Circumstances Committee will expect to see independent documentary evidence which is contemporaneous with the events which you are claiming have affected your performance. The Committee may decline to accept statements from medical practitioners, counsellors or other similar people which show that you have only approached them after the

[3] (University of Liverpool Extenuating Circumstances Policy, page 6)
han in exceptional circumstances (see section 9 below), it will not be possible for extenuating circumstances to be taken into account after the Board of Examiners meets to discuss the results. You may not normally appeal against the decision of the Board of Examiners if you have failed to report extenuating circumstances that may have affected the Board’s final decision. Your case must explain: • what the circumstances are • which assessments were affected • how it affected you in relation to your studies or an assessment • precisely when the circumstances occurred Evidence should be submitted wherever possible. Independent documentary evidence will be necessary in most cases, although evidence which is less independent may be acceptable in some cases where it is accepted that independent

[4] (University of Liverpool Extenuating Circumstances Policy, page 5)
partment/school in advance if you are unable to attend an examination or submit an assessment which counts towards the final mark of a module.) It is your responsibility to check with your Department/School’s office when the meeting of the Board of Examiners will be held. If there is good reason why you cannot yet provide independent documentary evidence, you should still submit your claim form on time. Your academic adviser or School teaching support staff can advise you on what alternative evidence you could consider providing (e.g. for bereavement, a copy of a funeral order of service, a letter from a clergyman or undertaker involved in the funeral arrangements, or a newspaper or online obituary or funeral notice may be submitted rather than a death certificate). If you are waiting for

[5] (University of Liverpool Extenuating Circumstances Policy, page 7)
are claiming have affected your performance predate your assessment; it is at their discretion whether or not to provide a statement. Please note that claims will only be considered if they are submitted on the correct form with supporting evidence. For online students the claim form is located on the Online Programme Virtual Learning Environment for completion online. Please be assured that all cases will be treated in the strictest confidence. 3.4 Examples of acceptable evidence The following examples are not exclusive, but are provided to indicate the types of evidence which an Extenuating Circumstance Committee will be expecting to see in support of claims relating to different types of circumstance. Physical illness The Extenuating Circumstances Committee will normally expect to see i",entailed,
RV004,How do monitoring expectations differ for a postgraduate student working on a dissertation and a Student Route student studying abroad?,Postgraduate students working on a dissertation,"[1] (Policy on UKVI Compliance — Student Route, page 10)
eriod of study abroad as an integral part of their programme are permitted to remain on their existing Student Route visa and will continue to be sponsored by the University for the duration of their study abroad. 9.2 Whilst the responsibility for monitoring the engagement of those studying abroad as part of their programme of study falls to the Dean of School, in accordance with the Student Attendance Policy, the responsibility for investigating any UKVI compliance risk for those international students studying abroad will fall to the Global Opportunities Team in Student Recruitment, Admissions and Widening Participation. 9.3 Following such a risk assessment, where it is identified and/or suspected that the required monitoring duties cannot be fulfilled at the study abroad location for an

[2] (Policy on UKVI Compliance — Student Route, page 10)
ted to retain their existing Student Route visa and will continue to be sponsored by the University for the duration of their placement(s). 10.2 Responsibility for monitoring the engagement of those students undertaking a work placement as part of their programme of study falls to the Dean of School, in accordance with the Student Attendance Policy. Where poor attendance is reported, investigation would be undertaken in accordance with normal departmental procedures and, where applicable, action would be taken under the authority prescribed within Appendix E of the Code of Practice on Assessment (Guide on the Progress of Students on Taught Programmes). 10.3 Student Route visa holders whose work placement does not form an integral part of their programme, and who therefore interrupt their s",unsupported,
RV005,How do the visa-holder guide and UKVI compliance policy describe the University's document-checking responsibilities for Student Route students?,The University is required to check and ensure that all necessary immigration and qualification documentation is provided to meet compliance obligations.,"[1] (Policy on UKVI Compliance — Student Route, page 11)
POLICY ON UKVI - STUDENT COMPLIANCE 11. Intercalated degrees 11.1. Student Route visa holders registered at the University but undertaking an intercalated year at another UK HEI are permitted to retain their existing Student Route visa if they are studying medicine, veterinary medicine and science, or dentistry. The University will notify UKVI of the student’s intention to undertake an intercalated year at another UK HEI. 11.2. Responsibility for sponsorship duties, including monitoring the attendance and engagement of students undertaking an intercalated year, falls to the student’s new institution. By notifying UKVI of the student’s intention to undertake an intercalated year at another UK HEI, the University is relieved of this responsibility for the period the student remains registere

[2] (Policy on UKVI Compliance — Student Route, page 9)
POLICY ON UKVI - STUDENT COMPLIANCE 7.6 Upon submission of a Student Route visa application inside the UK, the student is required to submit evidence of the application to Student Life in order to prove that they continue to reside in the UK legally. Acceptable evidence of the application is limited to documentation provided at the conclusion of the online application process. Where evidence is not submitted, is deemed unacceptable or demonstrates that an application was made after the expiry date of the student’s previous visa, the University reserves the right to administratively interrupt or withdraw the student from their programme of study, in order to protect its Student sponsor licence. Student Life will report the student’s change of circumstances to UKVI via SMS and, in so doing,

[3] (Policy on UKVI Compliance — Student Route, page 5)
required immigration and qualification documentation that satisfies the University’s Student Route compliance responsibilities. 3.8 In the event that all reasonable steps to elicit the required documentation prove unsuccessful, or where further checks indicate that an international student is unable to place themselves in a compliant immigration position within a reasonable timeframe, the University reserves the right to defer a student’s registration until the next available entry point and/or to de-register a student from their programme of study, in order to protect its sponsor licence. In such cases, the student’s failure to register will be reported to UKVI via the SMS. In so doing, the University will withdraw the existing CAS and hence its current sponsorship of the student. In most

[4] (Policy on UKVI Compliance — Student Route, page 3)
POLICY ON UKVI - STUDENT COMPLIANCE 1.1 The University is licensed by the UK Home Office under the Student Route rules to act as a sponsor of international students for visa purposes. By issuing a Confirmation of Acceptance for Studies (CAS) to a student, the University is stating that it wishes for the student to be granted permission to enter and remain in the UK to study at the University. 1.2 The main objectives of the Sponsor Licence are: a) To help prevent abuse of the UK migration system b) To help ensure students being sponsored are genuine and are complying with the immigration rules c) To help identify and address patterns of student behaviour that might cause concern d) To help sponsors take all reasonable steps to ensure compliance with the rules 1.3 As a licensed sponsor of in",entailed,
RV006,What changed in the 2025–26 academic-integrity categories and treatment of self-plagiarism and personal extenuating circumstances?,The 2025?26 changes include: 1.,"[1] (University of Liverpool Undergraduate Handbook, page 36)
nts before the date of the award of a of another’s concept as one’s own. Assessment which can be found at are ultimately responsible for ensuring degree, diploma or certificate will be liverpool.ac.uk/aqsd/academic- that their tuition fees are paid. deemed ineligible to be presented for Self-Plagiarism / Re-use of work codes-of-practice/code-of-practice- such an award. Further details, including Self-plagiarism is considered a breach Where by 2 February 2026 (or by 2 June on-assessment/ the Payment Policy 2025/26: Student of academic integrity and includes the 2026 for those whose programmes start in Programme Fees, Accommodation Fees, reuse of material that the student has January 2026) a student fails to make the Fines and Charges, can be found at previously submitted for assessment, nec",not_a_claim,"he presented text only states that self-plagiarism/re-use of previously submitted work is considered a breach of academic integrity. It does not actually state the claimed 2025–26 changes to the academic-integrity categories or personal extenuating circumstances, and the claim itself is incomplete"
RV007,How should a student with a long-term health condition think about reasonable adjustments versus interrupting study?,"If adjustments are already in place, they should continue using those unless there is a sudden deterioration or unforeseeable change in their condition (e.g., a flare-up near an assessment), which would then warrant an extenuating circumstances claim.","[1] (University of Liverpool Extenuating Circumstances Policy, page 2)
difficulties which made it very difficult for them to seek help; • Long term health condition for which the student is already receiving reasonable or appropriate adjustments; • Retrospective disclosure of circumstances or withholding of details on grounds of sensitive personal, family or cultural reasons; • Minor illness or ailment which is unlikely to have had a significant impact on the student’s performance; • Failure to attend an examination or submit an assessment due to misreading the examination / assessment timetable or submission deadline; • Inadequate planning and time management; • Having more than one examination on the same or consecutive days; • Examination clashes arising from incorrect registration by the student, i.e. examinations scheduled to take place at the same time

[2] (University of Liverpool Extenuating Circumstances Policy, page 5)
ecide that your circumstances can no longer be considered as ‘unforeseeable.’ If you have an ongoing illness or other physical or mental health condition which has affected you for six or more months, you should contact the University’s Disability Advice and Guidance Team (email disteam@liv.ac.uk) in order that the University can consider whether there is a case for reasonable adjustments to be made to your studies rather than considering your condition through repeated individual Extenuating Circumstances claims. If, after reasonable adjustments have been made, there are unforeseeable changes to your condition which affect your performance it is, of course, appropriate to submit an Extenuating Circumstances claim. 3.2 Submit the extenuating circumstances form together with supporting evid

[3] (University of Liverpool Extenuating Circumstances Policy, page 2)
hout reasonable or contemporaneous evidence (medical or otherwise) to support it; • Alleged medical circumstances outside the relevant assessment period or learning period for which appropriate adjustments for extenuating circumstances have already been made; • Alleged medical condition supported by “retrospective” medical evidence – that is, evidence that is not (contemporaneous) in existence at the same time as the illness, e.g. a doctor’s note which states that the student was seen (after the illness occurred) and declared they had been ill previously, except where there is evidence that the student had unknown or undisclosed mental health difficulties which made it very difficult for them to seek help; • Long term health condition for which the student is already receiving reasonable o

[4] (Student Conduct Procedures — Appendix A, page 20)
d the hearing. See section 12.5 above for information on reasonable adjustments. 13.2 The University believes that it is in the best interests of reporting and responding students for Panels to take place as soon as possible. If either party can provide good reason (with supporting evidence where necessary) that they cannot attend e.g. ill health, academic commitments (other than normal scheduled classes) they may request a postponement. In any request for a postponement, the requester should also indicate their earliest availability. 13.3 If dates are outside of term time the Student Conduct Team will work with all parties to identify a suitable date. 13.4 Responding and reporting students may not normally request a postponement because of the non-availability of any person who they wish

[5] (University of Liverpool Extenuating Circumstances Policy, page 8)
CODE OF PRACTICE ON ASSESSMENT – APPENDIX M ANNEXE 1 Policy on Extenuating Circumstances - Guidelines for Staff and Students Up to January 2026 for all online programmes delivered in partnership with Kaplan Higher Education to make reasonable adjustments to your studies or assessments. An extenuating circumstances claim will only be considered where either (a) a new condition or disability is diagnosed too late to allow reasonable adjustments to be considered or put in place or (b) you have been affected by a sudden deterioration or change in your condition (e.g. side effects from recent change of medication, flare-up/incident in close proximity to assessment (e.g. epileptic seizure or migraine on the day of the assessment)). The Extenuating Circumstances Committee will normally expect to",entailed,
RV008,Where should a taught student submit a formal complaint about an academic matter if informal resolution is not suitable?,A taught student should submit a formal complaint about an academic matter to the relevant Dean of School/Institute or their equivalent via the relevant School/Institute Manager.,"[1] (University of Liverpool Postgraduate Handbook, page 38)
iversity’s Code of Practice Regarding against whom they have a complaint, or be entitled to request a Review of the normal expected date of completion Freedom of Speech sets out the University’s they feel the complaint is serious enough to outcome under the Review Stage of this of their programme, should refer to the commitments and values in this area. not be able to be resolved informally, they Procedure, provided the request is made ‘Guide on the Progress of Students on In line with guidance from the Office for should submit a formal complaint (details within 10 working days after the formal Taught Programmes of Study’ (Appendix Students, cases relating to free speech of who the complaint should be directed response has been received and they E of the Code of Practice on Assessment) mat

[2] (University of Liverpool Undergraduate Handbook, page 42)
iversity’s Code of Practice Regarding against whom they have a complaint, or be entitled to request a Review of the normal expected date of completion Freedom of Speech sets out the University’s they feel the complaint is serious enough to outcome under the Review Stage of this of their programme, should refer to the commitments and values in this area. not be able to be resolved informally, they Procedure, provided the request is made ‘Guide on the Progress of Students on In line with guidance from the Office for should submit a formal complaint (details within 10 working days after the formal Taught Programmes of Study’ (Appendix Students, cases relating to free speech of who the complaint should be directed response has been received and they E of the Code of Practice on Assessment) mat",unsupported,
RV009,A complaint reviewer must always meet or correspond with the student throughout the review. Is that correct?,The statement is incorrect.,"[1] (University of Liverpool Postgraduate Handbook, page 38)
Students who wish to appeal against The University recognises and is fully Formal Complaint Review the decision of the Board of Examiners committed to meeting its responsibilities If a student is dissatisfied with the response If a student is dissatisfied with the outcome to terminate their studies (other than for to secure and promote academic freedom they receive from Early Resolution, or if they of a Formal Complaint (including those breaches of the Academic Integrity Policy) and free speech, within the law. The feel unable to approach a person directly students at partner institutions), they shall or to deem them withdrawn prior to the University’s Code of Practice Regarding against whom they have a complaint, or be entitled to request a Review of the normal expected date of completion

[2] (University of Liverpool Undergraduate Handbook, page 42)
Students who wish to appeal against The University recognises and is fully Formal Complaint Review the decision of the Board of Examiners committed to meeting its responsibilities If a student is dissatisfied with the response If a student is dissatisfied with the outcome to terminate their studies (other than for to secure and promote academic freedom they receive from Early Resolution, or if they of a Formal Complaint (including those breaches of the Academic Integrity Policy) and free speech, within the law. The feel unable to approach a person directly students at partner institutions), they shall or to deem them withdrawn prior to the University’s Code of Practice Regarding against whom they have a complaint, or be entitled to request a Review of the normal expected date of completion",unsupported,
RV010,Why does the Postgraduate Handbook tell students to use the correct academic regulations and codes for their cohort and degree?,The Postgraduate Handbook advises students to use the correct academic regulations and codes for their cohort and degree because these regulations are tailored to the specific level and type of postgraduate program they are enrolled in.,"[1] (University of Liverpool Postgraduate Handbook, page 1)
YOUR UNIVERSITY HANDBOOK FOR POSTGRADUATE STUDENTS

[2] (University of Liverpool Postgraduate Handbook, page 22)
point at academic-codes-of-practice/code-ofbehaviour and academic conduct. challenge reflects the level of further which the student registered for the first practice-on-assessment/ Appendix C is intellectual development appropriate to module which contributes credit towards Over the years, changes are made to these particularly relevant to the postgraduate the equivalent of 12 months’ full-time the award. regulations and codes of practice, and it programmes. advanced study beyond Honours degree is essential that you refer to the correct level. A Master’s degree will provide an framework for your cohort and your type appropriate foundation for research of degree. The information in this section degree registration and/or the qualities is relevant to those students starting and transferable

[3] (Policy on UKVI Compliance — Student Route, page 3)
ts agree to abide by all its policies and procedures. Other University policies, procedures and documentation which are connected to the Policy on UKVI Student Route Compliance are set out below: a) Student Charter b) Student Attendance Policy c) Fee Assessment Procedure for Applicants d) Code of Practice on Assessment and its appendices e) Postgraduate Research Code of Practice and its appendices f) Undergraduate Admissions Policy g) Postgraduate Taught Admissions Policy h) CAS Conditions of Issue i) Your University student handbook, as applicable to cohort 1.6 As a licensed sponsor, the University is required to keep accurate records for all international students, including: a) Copies of passport pages b) Copies of e-visa and proof of date of arrival into the UK (where appropriate) c) U

[4] (University of Liverpool Postgraduate Handbook, page 37)
disputes the academic judgement By awarding degrees and thus granting clinical staff to consider, whether there is Procedure which is applicable to all cohorts of the Board of Examiners, including those students the permissions described, the a valid case to be investigated.If a valid of students studying taught programmes which simply constitute an expression University has a very clear responsibility to case is considered to have been made, (undergraduates and Postgraduate Taught of dissatisfaction with the decision properly handle any conduct, behaviour the Executive Pro-Vice-Chancellor shall students). The relevant procedures can that has been taken; or other matters that could bear on a appoint a senior member of academic be found under Appendix F of the Code of That have already bee

[5] (University of Liverpool Postgraduate Handbook, page 37)
s been taken; or other matters that could bear on a appoint a senior member of academic be found under Appendix F of the Code of That have already been considered or student’s suitability for fitness to practise or clinical staff as an Investigating Officer Practice on Assessment Code of Practice re-considered by the Board of Examiners or dealing with patients which comes to to conduct a formal investigation. on Assessment - Academic Quality and or via another policy or procedure light during the student’s programme. Standards Division - University of Liverpool. (such as Additional Considerations Where there are concerns about a On account of this responsibility, the Policy or Student Complaints Policy); student’s suitability for professional Further information including appeals Universit",unsupported,
