question_id,question,question_type,difficulty,gold_documents,gold_chunk_ids,gold_chunk_count,latency_seconds,bm25_hit_at_5,bm25_recall_at_5,gold_in_pool,final_chunk_ids,hit_at_1,recall_at_1,full_evidence_at_1,precision_at_1,ndcg_at_1,hit_at_3,recall_at_3,full_evidence_at_3,precision_at_3,ndcg_at_3,hit_at_5,recall_at_5,full_evidence_at_5,precision_at_5,ndcg_at_5,hit_at_10,recall_at_10,full_evidence_at_10,precision_at_10,ndcg_at_10,mrr
V2Q001,"A Student Route visa holder spends an intercalated year at another UK university. What evidence must they give Liverpool, and by when?",paraphrased,medium,Policy on UKVI Compliance — Student Route,UOL_UKVI_complience.pdf_p11_c2,1,2.4018946000142023,1,1.0,1.0,UOL_UKVI_complience.pdf_p11_c2 | UOL_UKVI_complience.pdf_p11_c4 | UOL_UKVI_complience.pdf_p11_c3 | UOL_UKVI_complience.pdf_p11_c1 | UOL_student_guide_visa_holders.pdf_p10_c4 | UOL_UKVI_complience.pdf_p6_c2 | UOL_UKVI_complience.pdf_p6_c1 | UOL_UKVI_complience.pdf_p2_c5 | UOL_UKVI_complience.pdf_p9_c1 | UOL_student_guide_visa_holders.pdf_p3_c4,1,1.0,1,1.0,1.0,1,1.0,1,0.3333333333333333,1.0,1,1.0,1,0.2,1.0,1,1.0,1,0.1,1.0,1.0
V2Q002,"How should students or staff raise concerns about harassment, bullying, discrimination or victimisation?",paraphrased,medium,"University of Liverpool Diversity, Equality and Opportunity Policy",UOL_diversity-equality-opportunity-policy.pdf_p5_c3,1,1.7308559999801219,1,1.0,1.0,"UOL_diversity-equality-opportunity-policy.pdf_p5_c3 | UOL_diversity-equality-opportunity-policy.pdf_p9_c2 | UOL_diversity-equality-opportunity-policy.pdf_p8_c3 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p2_c3 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p9_c1 | UOL_diversity-equality-opportunity-policy.pdf_p8_c1 | UOL_diversity-equality-opportunity-policy.pdf_p5_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p11_c2 | UOL_diversity-equality-opportunity-policy.pdf_p23_c2 | UOL_diversity-equality-opportunity-policy.pdf_p6_c2",1,1.0,1,1.0,1.0,1,1.0,1,0.3333333333333333,1.0,1,1.0,1,0.2,1.0,1,1.0,1,0.1,1.0,1.0
V2Q003,What should a student do before submitting a claim if personal circumstances may be affecting their academic work?,procedural,medium,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p35_c3,1,1.9168819000478834,1,1.0,1.0,"UOL_postgraduate_handbook.pdf_p31_c4 | UOL_postgraduate_handbook.pdf_p31_c3 | UOL_undergraduate_handbook.pdf_p35_c3 | UOL_extenuating_circumstances_policy.pdf_p17_c4 | UOL_undergraduate_handbook.pdf_p35_c2 | UOL_undergraduate_handbook.pdf_p35_c4 | UOL_extenuating_circumstances_policy.pdf_p16_c5 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p8_c1 | UOL_extenuating_circumstances_policy.pdf_p5_c6 | UOL_undergraduate_handbook.pdf_p34_c1",0,0.0,0,0.0,0.0,1,1.0,1,0.3333333333333333,0.5,1,1.0,1,0.2,0.5,1,1.0,1,0.1,0.5,0.3333333333333333
V2Q004,What changed in the 2025–26 academic-integrity categories and treatment of self-plagiarism and personal extenuating circumstances?,paraphrased,medium,University of Liverpool Code of Practice on Assessment and Appendices 2025-26 — Summary of Changes,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4",1,2.0017991000786424,0,0.0,1.0,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p1_c1 | UOL_undergraduate_handbook.pdf_p36_c9 | UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4 | UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c3 | UOL_postgraduate_handbook.pdf_p32_c1 | UOL_extenuating_circumstances_policy.pdf_p2_c1 | UOL_undergraduate_handbook.pdf_p36_c3 | UOL_undergraduate_handbook.pdf_p34_c1 | UOL_postgraduate_handbook.pdf_p30_c1 | UOL_postgraduate_handbook.pdf_p32_c9",0,0.0,0,0.0,0.0,1,1.0,1,0.3333333333333333,0.5,1,1.0,1,0.2,0.5,1,1.0,1,0.1,0.5,0.3333333333333333
V2Q005,"If jury service would seriously disrupt a student's studies, the University offers no help with the court summons. Is that correct?",adversarial_false_premise,hard,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p38_c3,1,2.273968299967237,0,0.0,1.0,UOL_postgraduate_handbook.pdf_p34_c10 | UOL_undergraduate_handbook.pdf_p38_c8 | UOL_postgraduate_handbook.pdf_p34_c1 | UOL_undergraduate_handbook.pdf_p38_c7 | UOL_undergraduate_handbook.pdf_p38_c3 | UOL_postgraduate_handbook.pdf_p34_c9 | UOL_postgraduate_handbook.pdf_p34_c4 | UOL_postgraduate_handbook.pdf_p34_c3 | UOL_postgraduate_handbook.pdf_p34_c8 | UOL_postgraduate_handbook.pdf_p34_c7,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,1.0,1,0.2,0.38685280723454163,1,1.0,1,0.1,0.38685280723454163,0.2
V2Q006,What participation is expected from students involved in a student-conduct investigation?,factual,easy,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p12_c3,1,2.1051226999843493,0,0.0,1.0,"UOL_student_conduct1.pdf_p12_c3 | UOL_student_conduct1.pdf_p12_c2 | UOL_student_conduct1.pdf_p11_c5 | UOL_student_conduct1.pdf_p11_c3 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p9_c3 | UOL_student_conduct1.pdf_p20_c1 | UOL_student_conduct1.pdf_p19_c3 | UOL_student_conduct1.pdf_p11_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p15_c1 | UOL_student_conduct1.pdf_p13_c3",1,1.0,1,1.0,1.0,1,1.0,1,0.3333333333333333,1.0,1,1.0,1,0.2,1.0,1,1.0,1,0.1,1.0,1.0
V2Q007,When can a student be escalated to Stage Two under the Attendance Policy?,factual,easy,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1",1,1.947960100020282,1,1.0,1.0,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c2 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p4_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p6_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p4_c2 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p9_c5 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p9_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p4_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p9_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c1",1,1.0,1,1.0,1.0,1,1.0,1,0.3333333333333333,1.0,1,1.0,1,0.2,1.0,1,1.0,1,0.1,1.0,1.0
V2Q008,What happens after a student is notified that programme-fee payments remain outstanding under the 2026–27 Payment Policy?,procedural,medium,University of Liverpool Payment Policy 2026-27,"UOL_payment_policy_2026,2027.pdf_p7_c3",1,2.1887630000710487,0,0.0,1.0,"UOL_payment_policy_2026,2027.pdf_p7_c3 | UOL_payment_policy_2026,2027.pdf_p7_c1 | UOL_payment_policy_2026,2027.pdf_p3_c3 | UOL_payment_policy_2026,2027.pdf_p1_c1 | UOL_payment_policy_2026,2027.pdf_p7_c2 | UOL_undergraduate_handbook.pdf_p36_c10 | UOL_payment_policy_2026,2027.pdf_p4_c3 | UOL_undergraduate_handbook.pdf_p36_c4 | UOL_postgraduate_handbook.pdf_p32_c9 | UOL_postgraduate_handbook.pdf_p32_c4",1,1.0,1,1.0,1.0,1,1.0,1,0.3333333333333333,1.0,1,1.0,1,0.2,1.0,1,1.0,1,0.1,1.0,1.0
V2Q009,How long does a responding student normally have to reply after receiving the investigation report and allegations before Chair's Action?,paraphrased,medium,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p15_c4,1,4.618007899960503,1,1.0,1.0,"UOL_student_conduct1.pdf_p15_c4 | UOL_student_conduct1.pdf_p16_c4 | UOL_student_conduct1.pdf_p16_c3 | UOL_student_conduct1.pdf_p10_c4 | UOL_student_conduct1.pdf_p28_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p14_c1 | UOL_student_conduct1.pdf_p12_c4 | UOL_student_conduct1.pdf_p7_c2 | UOL_student_conduct1.pdf_p16_c1 | UOL_student_conduct1.pdf_p12_c2",1,1.0,1,1.0,1.0,1,1.0,1,0.3333333333333333,1.0,1,1.0,1,0.2,1.0,1,1.0,1,0.1,1.0,1.0
V2Q010,"What kinds of circumstances can the Attendance Policy treat as an authorised absence, subject to School approval?",paraphrased,medium,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c4",1,1.9953206999925897,1,1.0,1.0,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p6_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p6_c2 | UOL_extenuating_circumstances_policy.pdf_p3_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p4_c4 | UOL_undergraduate_handbook.pdf_p34_c1 | UOL_postgraduate_handbook.pdf_p30_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p10_c3",0,0.0,0,0.0,0.0,1,1.0,1,0.3333333333333333,0.6309297535714575,1,1.0,1,0.2,0.6309297535714575,1,1.0,1,0.1,0.6309297535714575,0.5
V2Q011,Appeal papers for a University disciplinary appeal can be provided on the day of the hearing. Is that correct?,adversarial_false_premise,hard,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p28_c1,1,4.147104100091383,0,0.0,1.0,UOL_student_conduct1.pdf_p28_c1 | UOL_student_conduct1.pdf_p25_c1 | UOL_student_conduct1.pdf_p28_c2 | UOL_student_conduct1.pdf_p25_c4 | UOL_student_conduct1.pdf_p20_c4 | UOL_student_conduct1.pdf_p26_c1 | UOL_student_conduct1.pdf_p25_c3 | UOL_student_conduct1.pdf_p22_c2 | UOL_student_conduct1.pdf_p27_c2 | UOL_student_conduct1.pdf_p10_c4,1,1.0,1,1.0,1.0,1,1.0,1,0.3333333333333333,1.0,1,1.0,1,0.2,1.0,1,1.0,1,0.1,1.0,1.0
V2Q012,"All postgraduate award credit must always be at level 7, with no level 6 credit permitted. Is that correct?",adversarial_false_premise,hard,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p23_c2,1,1.9706868000794202,1,1.0,1.0,UOL_postgraduate_handbook.pdf_p23_c7 | UOL_postgraduate_handbook.pdf_p23_c3 | UOL_postgraduate_handbook.pdf_p24_c3 | UOL_postgraduate_handbook.pdf_p23_c2 | UOL_postgraduate_handbook.pdf_p23_c6 | UOL_postgraduate_handbook.pdf_p23_c5 | UOL_postgraduate_handbook.pdf_p23_c8 | UOL_postgraduate_handbook.pdf_p23_c4 | UOL_postgraduate_handbook.pdf_p24_c2 | UOL_postgraduate_handbook.pdf_p23_c1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,1.0,1,0.2,0.43067655807339306,1,1.0,1,0.1,0.43067655807339306,0.25
V2Q013,What are examples of serious sanctions that a University Disciplinary Panel may impose?,factual,easy,Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p4_c1,1,4.006881200009957,0,0.0,0.0,UOL_student_conduct2.pdf_p3_c4 | UOL_student_conduct2.pdf_p3_c1 | UOL_student_conduct2.pdf_p3_c3 | UOL_student_conduct2.pdf_p5_c1 | UOL_student_conduct2.pdf_p2_c2 | UOL_student_conduct1.pdf_p26_c3 | UOL_postgraduate_handbook.pdf_p36_c8 | UOL_undergraduate_handbook.pdf_p40_c7 | UOL_postgraduate_handbook.pdf_p36_c7 | UOL_student_conduct2.pdf_p6_c2,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
V2Q014,Can a full-time student normally claim extenuating circumstances because employment interfered with study or a resit?,factual,easy,University of Liverpool Extenuating Circumstances Policy,UOL_extenuating_circumstances_policy.pdf_p10_c4,1,2.283981499960646,1,1.0,1.0,UOL_extenuating_circumstances_policy.pdf_p10_c4 | UOL_extenuating_circumstances_policy.pdf_p10_c3 | UOL_extenuating_circumstances_policy.pdf_p16_c6 | UOL_extenuating_circumstances_policy.pdf_p16_c7 | UOL_extenuating_circumstances_policy.pdf_p17_c4 | UOL_extenuating_circumstances_policy.pdf_p8_c1 | UOL_extenuating_circumstances_policy.pdf_p16_c5 | UOL_extenuating_circumstances_policy.pdf_p11_c1 | UOL_extenuating_circumstances_policy.pdf_p8_c2 | UOL_extenuating_circumstances_policy.pdf_p11_c2,1,1.0,1,1.0,1.0,1,1.0,1,0.3333333333333333,1.0,1,1.0,1,0.2,1.0,1,1.0,1,0.1,1.0,1.0
V2Q015,"If a student stops attending without completing the formal withdrawal or suspension process, their registration and fee liability automatically stop. Is that correct?",adversarial_false_premise,hard,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p33_c5,1,2.301453600055538,1,1.0,1.0,UOL_postgraduate_handbook.pdf_p33_c5 | UOL_undergraduate_handbook.pdf_p37_c5 | UOL_postgraduate_handbook.pdf_p33_c4 | UOL_undergraduate_handbook.pdf_p37_c4 | UOL_undergraduate_handbook.pdf_p37_c8 | UOL_postgraduate_handbook.pdf_p33_c8 | UOL_student_conduct2.pdf_p4_c1 | UOL_student_guide_visa_holders.pdf_p4_c1 | UOL_UKVI_complience.pdf_p4_c1 | UOL_postgraduate_handbook.pdf_p30_c2,1,1.0,1,1.0,1.0,1,1.0,1,0.3333333333333333,1.0,1,1.0,1,0.2,1.0,1,1.0,1,0.1,1.0,1.0
V2Q016,"Whose attendance requirements take priority if a professional body, sponsor or degree-apprenticeship provider sets stricter requirements than the University's minimum?",factual,easy,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c3",1,2.546076900092885,1,1.0,1.0,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c2 | UOL_undergraduate_handbook.pdf_p32_c8 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c5 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p6_c2 | UOL_UKVI_complience.pdf_p9_c2 | UOL_undergraduate_handbook.pdf_p32_c9 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p8_c2 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p12_c3 | UOL_payment_policy_2026,2027.pdf_p5_c1",1,1.0,1,1.0,1.0,1,1.0,1,0.3333333333333333,1.0,1,1.0,1,0.2,1.0,1,1.0,1,0.1,1.0,1.0
