item_id,question_id,system,kind,question_type,label,n_facts,n_present,n_contradicted,source
FL001,V2Q032,S2,answer,factual,correct,1,1,0,labelled
FL002,V2Q008,S3,answer,procedural,correct,3,3,0,labelled
FL003,V2Q024,S0,answer,factual,incorrect,1,0,1,labelled
FL004,V2Q043,S3,answer,procedural,correct,3,3,0,labelled
FL005,V2Q094,S2,answer,multi_document_synthesis,correct,2,2,0,labelled
FL006,V2Q072,S1,answer,reasoning,correct,2,2,0,labelled
FL007,V2Q059,S0,answer,paraphrased,correct,2,2,0,labelled
FL008,V2Q021,S3,draft,factual,correct,1,1,0,labelled
FL009,V2Q007,S0,answer,factual,correct,1,1,0,labelled
FL010,V2Q006,S2,answer,factual,correct,1,1,0,labelled
FL011,V2Q061,S2,answer,factual,correct,3,3,0,labelled
FL012,V2Q080,S3,answer,paraphrased,correct,2,2,0,labelled
FL013,V2Q002,S3,answer,paraphrased,correct,2,2,0,labelled
FL014,V2Q011,S2,answer,adversarial_false_premise,correct,3,3,0,labelled
FL015,V2Q091,S0,answer,multi_document_comparison,incorrect,2,0,0,labelled
FL016,V2Q084,S2,answer,multi_document_comparison,correct,3,3,0,labelled
FL017,V2Q088,S3,draft,multi_document_comparison,correct,3,3,0,labelled
FL018,V2Q088,S2,answer,multi_document_comparison,correct,3,3,0,labelled
FL019,V2Q076,S3,draft,reasoning,correct,3,3,0,labelled
FL020,V2Q086,S3,draft,multi_document_comparison,incorrect,3,0,0,labelled
FL021,V2Q075,S1,answer,procedural,incorrect,3,0,0,labelled
FL022,V2Q024,S3,answer,factual,correct,1,1,0,labelled
FL023,V2Q082,S3,draft,paraphrased,correct,1,1,0,labelled
FL024,V2Q015,S3,draft,adversarial_false_premise,correct,2,2,0,labelled
FL025,V2Q001,S0,answer,paraphrased,incorrect,4,0,0,labelled
FL026,V2Q008,S2,answer,procedural,partial,3,1,0,labelled
FL027,V2Q011,S0,answer,adversarial_false_premise,incorrect,3,0,0,labelled
FL028,V2Q038,S0,answer,reasoning,incorrect,2,0,0,labelled
FL029,V2Q075,S2,answer,procedural,partial,3,1,0,labelled
FL030,V2Q055,S3,draft,paraphrased,correct,3,3,0,labelled
FL031,V2Q001,S1,answer,paraphrased,correct,4,4,0,labelled
FL032,V2Q083,S3,draft,multi_document_comparison,incorrect,2,0,0,labelled
FL033,V2Q094,S3,answer,multi_document_synthesis,correct,2,2,0,labelled
FL034,V2Q006,S0,answer,factual,incorrect,1,0,0,labelled
FL035,V2Q070,S3,draft,paraphrased,incorrect,3,0,0,labelled
FL036,V2Q011,S1,answer,adversarial_false_premise,partial,3,2,0,labelled
FL037,V2Q091,S3,draft,multi_document_comparison,correct,2,2,0,labelled
FL038,V2Q101,S3,draft,multi_document_synthesis,correct,2,2,0,labelled
FL039,V2Q059,S2,answer,paraphrased,partial,2,1,0,labelled
FL040,V2Q005,S3,draft,adversarial_false_premise,partial,3,2,0,labelled
FL041,V2Q048,S3,draft,factual,correct,1,1,0,labelled
FL042,V2Q081,S3,draft,factual,incorrect,2,0,0,labelled
FL043,V2Q072,S2,answer,reasoning,correct,2,2,0,labelled
FL044,V2Q084,S0,answer,multi_document_comparison,partial,3,1,0,labelled
FL045,V2Q032,S3,answer,factual,correct,1,1,0,labelled
FL046,V2Q049,S3,draft,factual,correct,1,1,0,labelled
