item_id,question_id,system,kind
FL001,V2Q032,S2,answer
FL002,V2Q008,S3,answer
FL003,V2Q024,S0,answer
FL004,V2Q043,S3,answer
FL005,V2Q094,S2,answer
FL006,V2Q072,S1,answer
FL007,V2Q059,S0,answer
FL008,V2Q021,S3,draft
FL009,V2Q007,S0,answer
FL010,V2Q006,S2,answer
FL011,V2Q061,S2,answer
FL012,V2Q080,S3,answer
FL013,V2Q002,S3,answer
FL014,V2Q011,S2,answer
FL015,V2Q091,S0,answer
FL016,V2Q084,S2,answer
FL017,V2Q088,S3,draft
FL018,V2Q088,S2,answer
FL019,V2Q076,S3,draft
FL020,V2Q086,S3,draft
FL021,V2Q075,S1,answer
FL022,V2Q024,S3,answer
FL023,V2Q082,S3,draft
FL024,V2Q015,S3,draft
FL025,V2Q001,S0,answer
FL026,V2Q008,S2,answer
FL027,V2Q011,S0,answer
FL028,V2Q038,S0,answer
FL029,V2Q075,S2,answer
FL030,V2Q055,S3,draft
FL031,V2Q001,S1,answer
FL032,V2Q083,S3,draft
FL033,V2Q094,S3,answer
FL034,V2Q006,S0,answer
FL035,V2Q070,S3,draft
FL036,V2Q011,S1,answer
FL037,V2Q091,S3,draft
FL038,V2Q101,S3,draft
FL039,V2Q059,S2,answer
FL040,V2Q005,S3,draft
FL041,V2Q048,S3,draft
FL042,V2Q081,S3,draft
FL043,V2Q072,S2,answer
FL044,V2Q084,S0,answer
FL045,V2Q032,S3,answer
FL046,V2Q049,S3,draft
FL047,V2Q071,S3,answer
FL048,V2Q072,S0,answer
FL049,V2Q002,S2,answer
FL050,V2Q063,S1,answer
FL051,V2Q042,S3,draft
FL052,V2Q020,S1,answer
FL053,V2Q074,S3,draft
FL054,V2Q063,S3,draft
FL055,V2Q052,S3,draft
FL056,V2Q093,S0,answer
FL057,V2Q024,S1,answer
FL058,V2Q008,S1,answer
FL059,V2Q043,S1,answer
FL060,V2Q092,S3,draft
FL061,V2Q039,S1,answer
FL062,V2Q005,S2,answer
FL063,V2Q043,S0,answer
FL064,V2Q029,S1,answer
FL065,V2Q020,S2,answer
FL066,V2Q029,S3,answer
FL067,V2Q001,S2,answer
FL068,V2Q002,S0,answer
FL069,V2Q056,S3,draft
FL070,V2Q073,S3,draft
FL071,V2Q052,S2,answer
FL072,V2Q007,S1,answer
FL073,V2Q043,S2,answer
FL074,V2Q052,S1,answer
FL075,V2Q003,S3,draft
FL076,V2Q042,S2,answer
FL077,V2Q093,S1,answer
FL078,V2Q006,S3,answer
FL079,V2Q091,S1,answer
FL080,V2Q038,S2,answer
FL081,V2Q012,S3,draft
FL082,V2Q100,S0,answer
FL083,V2Q017,S3,draft
FL084,V2Q088,S1,answer
FL085,V2Q039,S3,draft
FL086,V2Q071,S1,answer
FL087,V2Q085,S3,draft
FL088,V2Q061,S3,draft
FL089,V2Q005,S1,answer
FL090,V2Q032,S1,answer
FL091,V2Q052,S0,answer
FL092,V2Q094,S1,answer
FL093,V2Q066,S3,draft
FL094,V2Q094,S0,answer
FL095,V2Q011,S3,draft
FL096,V2Q059,S1,answer
FL097,V2Q032,S0,answer
FL098,V2Q008,S0,answer
FL099,V2Q063,S0,answer
FL100,V2Q001,S3,draft
FL101,V2Q063,S2,answer
FL102,V2Q038,S3,answer
FL103,V2Q072,S3,answer
FL104,V2Q061,S1,answer
FL105,V2Q084,S3,draft
FL106,V2Q029,S2,answer
FL107,V2Q039,S0,answer
FL108,V2Q071,S2,answer
FL109,V2Q077,S3,draft
FL110,V2Q095,S3,draft
FL111,V2Q039,S2,answer
FL112,V2Q100,S3,answer
FL113,V2Q093,S3,draft
FL114,V2Q042,S0,answer
FL115,V2Q050,S3,draft
FL116,V2Q061,S0,answer
FL117,V2Q087,S3,draft
FL118,V2Q020,S3,draft
FL119,V2Q029,S0,answer
FL120,V2Q075,S0,answer
FL121,V2Q100,S2,answer
FL122,V2Q071,S0,answer
FL123,V2Q102,S3,draft
FL124,V2Q042,S1,answer
FL125,V2Q075,S3,answer
FL126,V2Q080,S1,answer
FL127,V2Q080,S0,answer
FL128,V2Q079,S3,draft
FL129,V2Q005,S0,answer
FL130,V2Q014,S3,draft
FL131,V2Q038,S1,answer
FL132,V2Q016,S3,draft
FL133,V2Q007,S3,answer
FL134,V2Q088,S0,answer
FL135,V2Q058,S3,draft
FL136,V2Q100,S1,answer
FL137,V2Q002,S1,answer
FL138,V2Q059,S3,answer
FL139,V2Q007,S2,answer
FL140,V2Q013,S3,draft
FL141,V2Q051,S3,draft
FL142,V2Q080,S2,answer
FL143,V2Q093,S2,answer
FL144,V2Q020,S0,answer
FL145,V2Q006,S1,answer
FL146,V2Q091,S2,answer
FL147,V2Q024,S2,answer
