system,question_id,question_type,difficulty,n_evidence_verified,gold_in_evidence,n_sentences,n_checkable,n_supported,n_supported_uncited,n_contradicted,n_unsupported,n_nei,faithfulness,unsupported_claim_rate,citation_accuracy,hallucination_risk
S3_corrective_rag,V2Q001,paraphrased,medium,5,1.0,4,4,0,1,1,2,0,0.25,0.75,0.0,HIGH
S3_corrective_rag,V2Q003,procedural,medium,5,1.0,2,2,0,1,0,1,0,0.5,0.5,0.0,MEDIUM
S3_corrective_rag,V2Q005,adversarial_false_premise,hard,5,1.0,5,5,0,1,2,2,0,0.2,0.8,0.0,HIGH
S3_corrective_rag,V2Q011,adversarial_false_premise,hard,5,1.0,3,3,1,0,0,2,0,0.3333,0.6667,1.0,HIGH
S3_corrective_rag,V2Q012,adversarial_false_premise,hard,5,1.0,4,4,2,0,0,2,0,0.5,0.5,1.0,MEDIUM
S3_corrective_rag,V2Q013,factual,easy,5,0.0,5,3,2,0,1,0,2,0.6667,0.3333,1.0,HIGH
S3_corrective_rag,V2Q014,factual,easy,5,1.0,3,3,0,1,1,1,0,0.3333,0.6667,0.0,HIGH
S3_corrective_rag,V2Q015,adversarial_false_premise,hard,5,1.0,8,7,2,2,1,2,1,0.5714,0.4286,0.5,HIGH
S3_corrective_rag,V2Q016,factual,easy,1,1.0,2,2,0,1,0,1,0,0.5,0.5,0.0,MEDIUM
S3_corrective_rag,V2Q017,procedural,medium,5,1.0,7,5,4,0,1,0,2,0.8,0.2,1.0,HIGH
S3_corrective_rag,V2Q020,paraphrased,medium,5,1.0,2,2,0,1,0,1,0,0.5,0.5,0.0,MEDIUM
S3_corrective_rag,V2Q021,factual,easy,5,1.0,5,5,2,2,1,0,0,0.8,0.2,0.5,HIGH
S3_corrective_rag,V2Q039,paraphrased,medium,5,1.0,2,2,0,1,0,1,0,0.5,0.5,0.0,MEDIUM
S3_corrective_rag,V2Q042,factual,easy,5,0.0,3,3,0,1,1,1,0,0.3333,0.6667,0.0,HIGH
S3_corrective_rag,V2Q048,factual,easy,5,1.0,8,7,3,1,3,0,1,0.5714,0.4286,0.75,HIGH
S3_corrective_rag,V2Q049,factual,easy,5,1.0,5,5,0,2,0,3,0,0.4,0.6,0.0,HIGH
S3_corrective_rag,V2Q050,reasoning,hard,5,0.0,3,3,0,1,0,2,0,0.3333,0.6667,0.0,HIGH
S3_corrective_rag,V2Q051,procedural,medium,5,1.0,6,6,1,3,2,0,0,0.6667,0.3333,0.25,HIGH
S3_corrective_rag,V2Q052,paraphrased,medium,2,1.0,1,1,0,0,0,1,0,0.0,1.0,0.0,HIGH
S3_corrective_rag,V2Q055,paraphrased,medium,5,1.0,1,1,0,0,0,1,0,0.0,1.0,0.0,HIGH
S3_corrective_rag,V2Q056,reasoning,hard,2,1.0,2,2,0,0,0,2,0,0.0,1.0,0.0,HIGH
S3_corrective_rag,V2Q058,factual,easy,5,1.0,2,2,0,0,0,2,0,0.0,1.0,0.0,HIGH
S3_corrective_rag,V2Q061,factual,easy,2,0.0,1,1,1,0,0,0,0,1.0,0.0,1.0,LOW
