item_id,system,question_id,question_type,label,stratum,cited,best_entailment,best_contradiction,supporting_chunk
RV001,S1_basic_rag,V2Q085,multi_document_comparison,unsupported,unsupported,2 3,0.2018,0.01,UOL_postgraduate_handbook.pdf_p24_c10
RV002,S2_modular_rag,V2Q088,multi_document_comparison,supported,entailed,2,0.9769,0.0629,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p4_c1"
RV003,S1_basic_rag,V2Q075,procedural,supported,entailed,3,0.864,0.0399,UOL_extenuating_circumstances_policy.pdf_p5_c6
RV004,S1_basic_rag,V2Q088,multi_document_comparison,contradicted,contradicted,,0.0349,0.9717,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p4_c3"
RV005,S3_corrective_rag,V2Q090,multi_document_comparison,unsupported,unsupported,4,0.4745,0.2449,UOL_UKVI_complience.pdf_p9_c1
RV006,S3_corrective_rag,V2Q004,paraphrased,unsupported,unsupported,,0.1702,0.0049,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p1_c1"
RV007,S2_modular_rag,V2Q099,multi_document_synthesis,supported,entailed,5,0.8577,0.2522,UOL_extenuating_circumstances_policy.pdf_p8_c1
RV008,S3_corrective_rag,V2Q018,paraphrased,supported,entailed,1,0.9584,0.4926,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c2"
RV009,S2_modular_rag,V2Q023,adversarial_false_premise,unsupported,unsupported,,0.4703,0.0653,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c2"
RV010,S1_basic_rag,V2Q038,reasoning,supported_uncited,entailed,,0.9189,0.0329,UOL_postgraduate_handbook.pdf_p22_c7
RV011,S2_modular_rag,V2Q092,multi_document_comparison,unsupported,unsupported,2 3,0.0458,0.3722,UOL_student_conduct1.pdf_p4_c4
RV012,S2_modular_rag,V2Q051,procedural,contradicted,contradicted,3,0.1033,0.9972,UOL_student_guide_visa_holders.pdf_p3_c1
RV013,S2_modular_rag,V2Q052,paraphrased,unsupported,unsupported,,0.0009,0.0034,UOL_postgraduate_handbook.pdf_p14_c8
RV014,S1_basic_rag,V2Q063,reasoning,contradicted,contradicted,,0.3722,0.991,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p6_c1"
RV015,S1_basic_rag,V2Q079,factual,supported_uncited,entailed,,0.7751,0.395,UOL_student_conduct2.pdf_p7_c3
RV016,S3_corrective_rag,V2Q023,adversarial_false_premise,supported,entailed,1 2,0.9335,0.0892,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c2"
RV017,S3_corrective_rag,V2Q014,factual,nei,nei,,0.4505,0.0144,UOL_extenuating_circumstances_policy.pdf_p10_c3
RV018,S2_modular_rag,V2Q038,reasoning,unsupported,unsupported,1,0.4838,0.0077,UOL_postgraduate_handbook.pdf_p22_c7
