question_id,question,old_expected_documents,rank,candidate_document,candidate_chunk_id,score,candidate_text,verified,verification_notes
original_007,What are the student conduct procedures?,Student Conduct Procedures — Appendix A | Student conduct Policy,1,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p3_c1,0.775873064994812,"Student Conduct, Complaints and Compliance 1 Introduction These procedures form part of the University’s Student Conduct Policy and should be operated alongside this Policy to achieve consistency across all student conduct issues. 1.1 These procedures shall adhere to the principles of natural justice namely; • that no one shall be judge in their own cause; • all decision makers be it at Local or University level shall make decisions impartially, without prejudice or any kind of personal interest in the outcome, providing reasons for these decisions and; • every party shall have the right to be heard. 1.2 Where a responding student’s conduct is a cause for concern, advice on how to proceed may, in the first instance, be sought from the Student Conduct Team. If it is determined that the resp",,
original_007,What are the student conduct procedures?,Student Conduct Procedures — Appendix A | Student conduct Policy,2,Student Complaints Policy and Procedure,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p20_c1",0.7638829946517944,"Student Conduct, Complaints and Compliance 19",,
original_007,What are the student conduct procedures?,Student Conduct Procedures — Appendix A | Student conduct Policy,3,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p1_c1,0.7632824182510376,University of Liverpool Appendix A – Student Conduct Procedures,,
original_010,What happens if I break student conduct rules?,Student Conduct Procedures — Appendix A | Student conduct Policy | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook,1,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p6_c1,0.6681270003318787,"Student Conduct, Complaints and Compliance responding student’s opportunity to provide details of any mitigating circumstances. 3.9 Once all meeting notes have been agreed, the designated staff member will have 10 working days to review all of the evidence in the case and make a decision as to whether the alleged breach of the Student Conduct Policy has taken place or not, on the balance of probabilities. 3.10 If the responding student is found to have breached the Student Conduct Policy or has admitted the misconduct, the designated member of staff may impose a sanction in accordance with section 1.4 of Appendix B Student Conduct Breaches. Designated staff members should not usually impose any sanction other than those listed in section 1.4. However, where there are aggravating factors or",,
original_010,What happens if I break student conduct rules?,Student Conduct Procedures — Appendix A | Student conduct Policy | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook,2,Student Complaints Policy and Procedure,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p20_c1",0.6674911975860596,"Student Conduct, Complaints and Compliance 19",,
original_010,What happens if I break student conduct rules?,Student Conduct Procedures — Appendix A | Student conduct Policy | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook,3,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p36_c10,0.662348747253418,"r in part. Appendix B (E: studentconduct@liverpool.ac.uk). You Department, Deans of Academic Schools such cases responding students will be are responsible for updating the Student – Student Conduct Breaches and Indicative and Institutes, Directors of Professional informed regarding the alleged breach of Conduct Team via email of any changes in Sanctions provides further details regarding Services, Head of Accommodation, the Student Conduct Policy being made your circumstances or the circumstances the sanctions that can be issued by a Hall Managers and Wardens, as well as against them and the final decision with of the case. University Disciplinary Panel. organisations or individuals acting on regard to how the case is to be dealt with. behalf of the University for the purpose of student d",,
Q019,What is academic misconduct according to the University's rules?,Academic misconduct policy,1,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p36_c1,0.7233368754386902,"The University has three stages for Their authority under local disciplinary In certain cases, the Student Conduct The Student Conduct Policy sets out managing alleged student misconduct: action enables them to issue sanctions Manager (or nominee) may determine the right of appeal by students against 1. Informal Resolution which include a formal written warning that the misconduct is suitable to be dealt decisions taken under University or a final written warning for a repeated with via Chair’s Action. In cases where the Disciplinary Procedures. 2. Local Disciplinary Action breach, a fine not exceeding £200, a student admits the misconduct and the 3. University Disciplinary Action – The full Student Conduct Policy can be requirement in the event of non-accidental facts of the matter are no",,
Q019,What is academic misconduct according to the University's rules?,Academic misconduct policy,2,Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p11_c1,0.7036373019218445,"Student Conduct, Complaints and Compliance F Vexatiously alleging the commission of a disciplinary act or Category 3 providing vexatious fraudulent or dishonest information during a disciplinary investigation G Impersonation of another member of the University or Category 2 or 3 intentional misrepresentation of status or identity h Bribery or attempted bribery including but not limited to Category 3 offering or giving money, gifts or any other advantage to any student or employee of the University, honorary staff, recognised teacher, or any visitor to the University with the intention of inducing that person to perform his/her role improperly or of rewarding that person for performing his/her role improperly. It is recommended that where breaches regarding fraud are brought, the usual cate",,
Q019,What is academic misconduct according to the University's rules?,Academic misconduct policy,3,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p40_c6,0.6985751986503601,"ance. Should the nature of the alleged misconduct those in section 1.4 (Category 1 sanctions) to investigations, charges and convictions be such that it is deemed too serious to be and section 1.6 (Category 2 sanctions) of under any country’s laws. There is no right of appeal against dealt with under Local Disciplinary Action Appendix B – Student Conduct Breaches sanctions given within informal resolution, (e.g. allegations of serious misconduct, and Indicative Sanctions. Further details regarding Police and although a student could, if they wished the or persistent incidents of misconduct criminal investigations can be found in matter to be considered further, request You should be aware that the University that have originally been dealt with via section 13 of the Section 13 of the Stude",,
Q020,What types of behaviour can be treated as plagiarism or collusion?,Academic misconduct policy,1,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p35_c10,0.5553058385848999,"(including content. Fabrication of Data – occurs when a the inadequate referencing of content student creates and presents an extensive generated by Artificial Intelligence amount or significant piece of data in software when use is permitted). order to conceal a lack of legitimate data, Plagiarism occurs when a student or wholly fabricates a set of data in the misrepresents the work or ideas of any absence of legitimate data. other person (including another student) or of any institution, as his/her own work. Your University – Handbook for Undergraduate Students66 / /67",,
