system,question_id,question_type,difficulty,gold_in_evidence,retrieval_complete,n_checkable,n_supported,n_supported_uncited,n_unsupported,n_contradicted,hallucination_risk,failure_layer
S0_llm_only,V2Q001,paraphrased,medium,,False,8,0,0,8,0,HIGH,Parametric
S0_llm_only,V2Q002,paraphrased,medium,,False,6,0,0,6,0,HIGH,Parametric
S0_llm_only,V2Q003,procedural,medium,,False,3,0,0,3,0,HIGH,Parametric
S0_llm_only,V2Q004,paraphrased,medium,,False,3,0,0,3,0,HIGH,Parametric
S0_llm_only,V2Q005,adversarial_false_premise,hard,,False,3,0,0,3,0,HIGH,Parametric
S0_llm_only,V2Q006,factual,easy,,False,2,0,0,2,0,HIGH,Parametric
S0_llm_only,V2Q007,factual,easy,,False,3,0,1,2,0,HIGH,Parametric
S0_llm_only,V2Q008,procedural,medium,,False,4,0,1,3,0,HIGH,Parametric
S0_llm_only,V2Q009,paraphrased,medium,,False,2,0,0,2,0,HIGH,Parametric
S0_llm_only,V2Q010,paraphrased,medium,,False,3,0,0,3,0,HIGH,Parametric
S0_llm_only,V2Q011,adversarial_false_premise,hard,,False,3,0,0,3,0,HIGH,Parametric
S0_llm_only,V2Q012,adversarial_false_premise,hard,,False,4,0,0,3,1,HIGH,Parametric
S0_llm_only,V2Q013,factual,easy,,False,6,0,0,6,0,HIGH,Parametric
S0_llm_only,V2Q014,factual,easy,,False,3,0,1,2,0,HIGH,Parametric
S0_llm_only,V2Q015,adversarial_false_premise,hard,,False,3,0,1,2,0,HIGH,Parametric
S0_llm_only,V2Q016,factual,easy,,False,5,0,2,3,0,HIGH,Parametric
S0_llm_only,V2Q017,procedural,medium,,False,3,0,0,3,0,HIGH,Parametric
S0_llm_only,V2Q018,paraphrased,medium,,False,5,0,2,2,1,HIGH,Parametric
S0_llm_only,V2Q019,reasoning,hard,,False,4,0,3,1,0,MEDIUM,Parametric
S0_llm_only,V2Q020,paraphrased,medium,,False,5,0,0,5,0,HIGH,Parametric
S0_llm_only,V2Q021,factual,easy,,False,6,0,3,3,0,MEDIUM,Parametric
S0_llm_only,V2Q022,paraphrased,medium,,False,5,0,1,4,0,HIGH,Parametric
S0_llm_only,V2Q023,adversarial_false_premise,hard,,False,2,0,0,2,0,HIGH,Parametric
S0_llm_only,V2Q024,factual,easy,,False,4,0,0,4,0,HIGH,Parametric
S0_llm_only,V2Q025,factual,easy,,False,2,0,0,1,1,HIGH,Parametric
S0_llm_only,V2Q026,paraphrased,medium,,False,3,0,0,3,0,HIGH,Parametric
S0_llm_only,V2Q027,paraphrased,medium,,False,3,0,0,3,0,HIGH,Parametric
S0_llm_only,V2Q028,procedural,medium,,False,3,0,0,2,1,HIGH,Parametric
S0_llm_only,V2Q029,paraphrased,medium,,False,3,0,0,3,0,HIGH,Parametric
S0_llm_only,V2Q030,procedural,medium,,False,4,0,1,3,0,HIGH,Parametric
S0_llm_only,V2Q031,factual,easy,,False,3,0,0,1,2,HIGH,Parametric
S0_llm_only,V2Q032,factual,easy,,False,3,0,0,3,0,HIGH,Parametric
S0_llm_only,V2Q033,paraphrased,medium,,False,2,0,1,1,0,MEDIUM,Parametric
S0_llm_only,V2Q034,procedural,medium,,False,7,0,1,6,0,HIGH,Parametric
S0_llm_only,V2Q035,reasoning,hard,,False,3,0,0,2,1,HIGH,Parametric
S0_llm_only,V2Q036,paraphrased,medium,,False,4,0,0,4,0,HIGH,Parametric
S0_llm_only,V2Q037,factual,easy,,False,3,0,0,3,0,HIGH,Parametric
S0_llm_only,V2Q038,reasoning,hard,,False,3,0,1,2,0,HIGH,Parametric
S0_llm_only,V2Q039,paraphrased,medium,,False,4,0,0,4,0,HIGH,Parametric
S0_llm_only,V2Q040,factual,easy,,False,4,0,0,4,0,HIGH,Parametric
S0_llm_only,V2Q041,factual,easy,,False,7,0,1,6,0,HIGH,Parametric
S0_llm_only,V2Q042,factual,easy,,False,3,0,0,3,0,HIGH,Parametric
S0_llm_only,V2Q043,procedural,medium,,False,11,0,4,7,0,HIGH,Parametric
S0_llm_only,V2Q044,reasoning,hard,,False,4,0,1,3,0,HIGH,Parametric
S0_llm_only,V2Q045,paraphrased,medium,,False,4,0,0,4,0,HIGH,Parametric
S0_llm_only,V2Q046,factual,easy,,False,2,0,1,1,0,MEDIUM,Parametric
S0_llm_only,V2Q047,reasoning,hard,,False,5,0,0,0,5,HIGH,Parametric
S0_llm_only,V2Q048,factual,easy,,False,4,0,2,2,0,MEDIUM,Parametric
S0_llm_only,V2Q049,factual,easy,,False,4,0,1,3,0,HIGH,Parametric
S0_llm_only,V2Q050,reasoning,hard,,False,2,0,0,2,0,HIGH,Parametric
S0_llm_only,V2Q051,procedural,medium,,False,15,0,3,12,0,HIGH,Parametric
S0_llm_only,V2Q052,paraphrased,medium,,False,8,0,1,7,0,HIGH,Parametric
S0_llm_only,V2Q053,reasoning,hard,,False,4,0,0,4,0,HIGH,Parametric
S0_llm_only,V2Q054,procedural,medium,,False,4,0,0,4,0,HIGH,Parametric
S0_llm_only,V2Q055,paraphrased,medium,,False,13,0,0,13,0,HIGH,Parametric
S0_llm_only,V2Q056,reasoning,hard,,False,4,0,1,3,0,HIGH,Parametric
S0_llm_only,V2Q057,procedural,medium,,False,6,0,1,5,0,HIGH,Parametric
S0_llm_only,V2Q058,factual,easy,,False,4,0,1,3,0,HIGH,Parametric
S0_llm_only,V2Q059,paraphrased,medium,,False,3,0,1,2,0,HIGH,Parametric
S0_llm_only,V2Q060,factual,easy,,False,2,0,0,2,0,HIGH,Parametric
S0_llm_only,V2Q061,factual,easy,,False,2,0,0,2,0,HIGH,Parametric
