item_id,question_id,answer_shown
FL001,V2Q032,"The factors considered when deciding whether conduct has the effect required for harassment are: 
1. The perception of the person (e.g., whether they regarded the conduct as violating their dignity). 
2. The other circumstances of the incident, including personal circumstances (e.g., mental health, culture), the environment, and the situation. 
3. Whether it is reasonable for the conduct to have that effect (an objective test, such as whether a normal person would expect the incident to be harassment)."
FL002,V2Q008,"After a student is notified that programme-fee payments remain outstanding, the University will give them 5 working days to settle the outstanding balance. If the student fails to pay within this period, the University will apply academic sanctions as prescribed in section 7.1, which include restricting access to services such as Library services, MWS account (and all University IT facilities), Graduate Document Portal, and the ability to request secure documents. These sanctions will remain in place until the student settles the debt or establishes a suitable payment arrangement."
FL003,V2Q024,"If a Student Route visa holder reaches Stage Three and fails to meet the agreed re-engagement conditions, the Home Office may refuse their visa application. This could result in the student being required to leave the UK, as failing to comply with re-engagement requirements typically indicates a breach of visa conditions. However, specific outcomes depend on the circumstances and decisions made by the Home Office. If uncertain about exact procedures, it is advisable to consult official UKVI guidance or seek advice from the university's immigration support team."
FL004,V2Q043,"During a Master's dissertation or PhD writing-up period, a Student visa holder must treat this time as term time. This means they should not plan to work more than 20 hours per week and must remain living in the Liverpool area."
FL005,V2Q094,"A complaint involving harassment or sexual misconduct can move into the student-conduct process under the Student Conduct Policy, which explicitly covers such complaints. If the report is anonymous, it may still be investigated if there is supporting evidence (e.g., CCTV, social media) or if exceptional circumstances (e.g., fear of reprisals) justify withholding the reporting party’s identity. The Student Conduct Team would assess the case and determine the appropriate process, ensuring compliance with University policies."
FL006,V2Q072,"The Diversity and Equality of Opportunity Policy provides an overarching framework for the University’s approach to equality, and other equality-related policies and plans support this framework. For example, Appendix D of the policy lists specific supporting documents such as the Equality Objectives Action Plan, Bullying & Harassment Policy, and Athena Swan Action Plan, which are all part of the University’s broader equality initiatives. Additionally, the policy’s principles are applied in specific areas like student admissions and program approvals, as outlined in the University’s governance and student-related policies. The policy also emphasizes collaboration through committees like the Equality, Diversity & Inclusion Committee, which oversees advancing equality across the University."
FL007,V2Q059,"The transition from Early Resolution to the Formal Complaint stage typically occurs when the Early Resolution process does not resolve the concern satisfactorily, or if the student chooses to escalate the issue formally. However, the exact criteria (e.g., timeframes, specific unresolved issues) depend on the University of Liverpool’s official policies. For precise details, I recommend consulting the university’s Student Complaints and Appeals Policy or contacting the Student Support team directly."
FL008,V2Q021,"The University can protect its Student sponsor licence by: 
1. Reporting the student’s change of circumstances to UKVI via SMS and withdrawing sponsorship, requiring the student to leave the UK and obtain a new CAS. 
2. Administratively interrupting or withdrawing the student from their programme of study to protect the licence. 
3. De-registering the student from their programme if required documentation is not provided or if compliance cannot be achieved within a reasonable timeframe. 

These actions are explicitly stated in the evidence as measures to safeguard the sponsor licence when a student’s circumstances no longer align with sponsorship requirements."
FL009,V2Q007,"I’m not certain about the specific criteria for escalation to Stage Two under the University of Liverpool’s Attendance Policy. Policies can vary, and I don’t have access to the exact details of this policy. I recommend checking the official Attendance Policy document or contacting the Student Support Services team for precise information."
FL010,V2Q006,"Students involved in a student-conduct investigation are expected to engage fully with the procedure, including attending investigation meetings, agreeing to meeting notes or statements, and participating in University Disciplinary Panels when required. Both reporting and responding students, as well as witnesses, must actively participate in these processes. Additionally, a student may be accompanied by one other person (e.g., a friend) at an investigation meeting. Failure to engage may result in the investigation being closed."
