"system","question_id","question_type","label","sentence","cited","best_entailment","best_contradiction","supporting_chunk"
"S0_llm_only","V2Q001","paraphrased","unsupported","A Student Route visa holder moving to another UK university for an intercalated year would typically need to provide evidence of a confirmed offer or acceptance from the new university","","0.0409","0.0311","UOL_UKVI_complience.pdf_p11_c2"
"S0_llm_only","V2Q001","paraphrased","unsupported","(e.g., an offer letter or confirmation of enrollment).","","0.0075","0.0184","UOL_UKVI_complience.pdf_p11_c2"
"S0_llm_only","V2Q001","paraphrased","unsupported","They may also need to demonstrate continued compliance with their Student Route visa conditions, such as proof of sufficient funds or valid visa status.","","0.0035","0.0029","UOL_UKVI_complience.pdf_p11_c2"
"S0_llm_only","V2Q001","paraphrased","unsupported","for submitting this evidence to the University of Liverpool would likely be before the start of the new academic term","","0.0011","0.0019","UOL_UKVI_complience.pdf_p11_c2"
"S0_llm_only","V2Q001","paraphrased","unsupported","at the new institution.","","0.007","0.0133","UOL_UKVI_complience.pdf_p11_c2"
"S0_llm_only","V2Q001","paraphrased","unsupported","However, the exact date and specific requirements (e.g., additional documents) should be confirmed directly with the University of Liverpool?s International Office","","0.0025","0.0025","UOL_UKVI_complience.pdf_p11_c2"
"S0_llm_only","V2Q001","paraphrased","unsupported","or Student Visa Support team, as policies can vary.","","0.0039","0.003","UOL_UKVI_complience.pdf_p11_c2"
"S0_llm_only","V2Q001","paraphrased","unsupported","If you are unsure, it is critical to seek clarification from the university to avoid any risk to your visa status.","","0.318","0.0169","UOL_UKVI_complience.pdf_p11_c2"
"S0_llm_only","V2Q002","paraphrased","unsupported","Students or staff should contact the Student Support and Wellbeing team","","0.0161","0.005","UOL_diversity-equality-opportunity-policy.pdf_p5_c3"
"S0_llm_only","V2Q002","paraphrased","unsupported","or the Equality and Diversity office","","0.0032","0.0028","UOL_diversity-equality-opportunity-policy.pdf_p5_c3"
"S0_llm_only","V2Q002","paraphrased","unsupported","at the University of Liverpool to raise concerns about harassment, bullying, discrimination, or victimisation.","","0.0031","0.0004","UOL_diversity-equality-opportunity-policy.pdf_p5_c3"
"S0_llm_only","V2Q002","paraphrased","unsupported","They can also approach a trusted staff member, union representative, or use the university?s online reporting system (if available).","","0.0027","0.0022","UOL_diversity-equality-opportunity-policy.pdf_p5_c3"
"S0_llm_only","V2Q002","paraphrased","unsupported","If unsure, they may seek guidance from a designated staff member.","","0.2243","0.0402","UOL_diversity-equality-opportunity-policy.pdf_p5_c3"
"S0_llm_only","V2Q002","paraphrased","unsupported","Always ensure the process aligns with the university?s official policies, which can be found on their website.","","0.0029","0.0008","UOL_diversity-equality-opportunity-policy.pdf_p5_c3"
"S0_llm_only","V2Q003","procedural","unsupported","The student should contact their school or department and discuss their situation with an academic advisor or support staff before submitting a claim.","","0.4925","0.0063","UOL_undergraduate_handbook.pdf_p35_c3"
"S0_llm_only","V2Q003","procedural","unsupported","This allows them to receive appropriate guidance and support tailored to their specific circumstances.","","0.342","0.0121","UOL_undergraduate_handbook.pdf_p35_c3"
"S0_llm_only","V2Q003","procedural","unsupported","If you are unsure about the exact process at the University of Liverpool, I recommend reaching out to the university's student support services for precise instructions.","","0.0108","0.0047","UOL_undergraduate_handbook.pdf_p35_c3"
"S0_llm_only","V2Q004","paraphrased","unsupported","I don?t have specific information about changes to the 2025?26 academic integrity categories, self-plagiarism policies, or treatment of personal extenuating circumstances at the University of Liverpool.","","0.0031","0.006","UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4"
"S0_llm_only","V2Q004","paraphrased","unsupported","Policies can evolve, but any updates would typically be communicated through official university channels (e.g., the Student Union, academic integrity guidelines, or direct student communications).","","0.0691","0.0039","UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4"
"S0_llm_only","V2Q004","paraphrased","unsupported","For the most accurate and up-to-date details, I recommend checking the university?s official website or contacting the Student Support team directly.","","0.0047","0.0037","UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4"
