system,question_id,question_type,label,sentence,cited,best_entailment,best_contradiction,supporting_chunk
S1_basic_rag,V2Q001,paraphrased,supported_uncited,"The evidence required is proof of registration at the other UK HEI, and it must be submitted within 10 working days of completing registration.",,0.9804,0.025,UOL_UKVI_complience.pdf_p11_c2
S1_basic_rag,V2Q001,paraphrased,supported_uncited,This is specified in.,2,0.968,0.0133,UOL_UKVI_complience.pdf_p6_c2
S1_basic_rag,V2Q002,paraphrased,supported_uncited,"To raise concerns about harassment, bullying, discrimination, or victimisation, students or staff should report incidents to their line manager, Head of Department, HR Business Partner, or programme leader.",,0.9979,0.0853,UOL_diversity-equality-opportunity-policy.pdf_p5_c3
S1_basic_rag,V2Q002,paraphrased,supported,"They may also use the University’s Report and Support provision to relay incidents, either named or anonymously.",1,0.9961,0.0042,UOL_diversity-equality-opportunity-policy.pdf_p5_c3
S1_basic_rag,V2Q003,procedural,supported_uncited,The student must complete the extenuating circumstances form with supporting information and list all affected modules/assessments before submitting a claim.,,0.9886,0.141,UOL_extenuating_circumstances_policy.pdf_p5_c2
S1_basic_rag,V2Q003,procedural,supported,This is required as the case cannot be submitted without a completed form and supporting evidence.,4,0.97,0.0263,UOL_extenuating_circumstances_policy.pdf_p5_c2
S1_basic_rag,V2Q004,paraphrased,unsupported,The 2025–26 changes include: 1.,,0.0889,0.0057,UOL_undergraduate_handbook.pdf_p36_c9
S1_basic_rag,V2Q004,paraphrased,supported_uncited,The academic-integrity categories were reduced from 5 to 4.,,0.74,0.0992,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4"
S1_basic_rag,V2Q004,paraphrased,supported,"Category A (minor error) was removed, and the remaining categories were relabeled (B→1, C→2, D→3, E→4).",2,0.8669,0.065,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4"
S1_basic_rag,V2Q004,paraphrased,supported,"A new offense, ""self-plagiarism/re-use of work,"" was introduced as a distinct category.",2,0.9705,0.0101,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4"
