system,question_id,question_type,difficulty,n_evidence_verified,gold_in_evidence,n_sentences,n_checkable,n_abstention,n_supported,n_supported_uncited,n_contradicted,n_unsupported,n_nei,faithfulness,unsupported_claim_rate,citation_accuracy,hallucination_risk
S0_llm_only,V2Q001,paraphrased,medium,1,,8,8,0,0,0,0,8,0,0.0,1.0,,HIGH
S0_llm_only,V2Q002,paraphrased,medium,1,,6,6,0,0,0,0,6,0,0.0,1.0,,HIGH
S0_llm_only,V2Q003,procedural,medium,1,,3,3,0,0,0,0,3,0,0.0,1.0,,HIGH
S0_llm_only,V2Q004,paraphrased,medium,1,,3,3,0,0,0,0,3,0,0.0,1.0,,HIGH
S0_llm_only,V2Q005,adversarial_false_premise,hard,1,,3,3,0,0,0,0,3,0,0.0,1.0,,HIGH
S0_llm_only,V2Q006,factual,easy,1,,2,2,0,0,0,0,2,0,0.0,1.0,,HIGH
S0_llm_only,V2Q007,factual,easy,1,,3,3,0,0,1,0,2,0,0.3333,0.6667,,HIGH
S0_llm_only,V2Q008,procedural,medium,1,,4,4,0,0,1,0,3,0,0.25,0.75,,HIGH
S0_llm_only,V2Q009,paraphrased,medium,1,,2,2,0,0,0,0,2,0,0.0,1.0,,HIGH
S0_llm_only,V2Q010,paraphrased,medium,1,,3,3,0,0,0,0,3,0,0.0,1.0,,HIGH
S0_llm_only,V2Q011,adversarial_false_premise,hard,1,,3,3,0,0,0,0,3,0,0.0,1.0,,HIGH
S0_llm_only,V2Q012,adversarial_false_premise,hard,1,,4,4,0,0,0,1,3,0,0.0,1.0,,HIGH
S0_llm_only,V2Q013,factual,easy,1,,6,6,0,0,0,0,6,0,0.0,1.0,,HIGH
S0_llm_only,V2Q014,factual,easy,1,,3,3,0,0,1,0,2,0,0.3333,0.6667,,HIGH
S0_llm_only,V2Q015,adversarial_false_premise,hard,1,,3,3,0,0,1,0,2,0,0.3333,0.6667,,HIGH
S0_llm_only,V2Q016,factual,easy,1,,5,5,0,0,2,0,3,0,0.4,0.6,,HIGH
S0_llm_only,V2Q017,procedural,medium,1,,3,3,0,0,0,0,3,0,0.0,1.0,,HIGH
S0_llm_only,V2Q018,paraphrased,medium,1,,5,5,0,0,2,1,2,0,0.4,0.6,,HIGH
S0_llm_only,V2Q019,reasoning,hard,1,,4,4,0,0,3,0,1,0,0.75,0.25,,MEDIUM
S0_llm_only,V2Q020,paraphrased,medium,1,,5,5,0,0,0,0,5,0,0.0,1.0,,HIGH
S0_llm_only,V2Q021,factual,easy,1,,6,6,0,0,3,0,3,0,0.5,0.5,,MEDIUM
S0_llm_only,V2Q022,paraphrased,medium,1,,5,5,0,0,1,0,4,0,0.2,0.8,,HIGH
S0_llm_only,V2Q023,adversarial_false_premise,hard,1,,2,2,0,0,0,0,2,0,0.0,1.0,,HIGH
S0_llm_only,V2Q024,factual,easy,1,,4,4,0,0,0,0,4,0,0.0,1.0,,HIGH
S0_llm_only,V2Q025,factual,easy,1,,2,2,0,0,0,1,1,0,0.0,1.0,,HIGH
S0_llm_only,V2Q026,paraphrased,medium,1,,3,3,0,0,0,0,3,0,0.0,1.0,,HIGH
S0_llm_only,V2Q027,paraphrased,medium,1,,3,3,0,0,0,0,3,0,0.0,1.0,,HIGH
S0_llm_only,V2Q028,procedural,medium,1,,3,3,0,0,0,1,2,0,0.0,1.0,,HIGH
S0_llm_only,V2Q029,paraphrased,medium,1,,3,3,0,0,0,0,3,0,0.0,1.0,,HIGH
S0_llm_only,V2Q030,procedural,medium,1,,4,4,0,0,1,0,3,0,0.25,0.75,,HIGH
S0_llm_only,V2Q031,factual,easy,1,,3,3,0,0,0,2,1,0,0.0,1.0,,HIGH
S0_llm_only,V2Q032,factual,easy,1,,3,3,0,0,0,0,3,0,0.0,1.0,,HIGH
S0_llm_only,V2Q033,paraphrased,medium,1,,2,2,0,0,1,0,1,0,0.5,0.5,,MEDIUM
S0_llm_only,V2Q034,procedural,medium,1,,7,7,0,0,1,0,6,0,0.1429,0.8571,,HIGH
