question_id,question,question_type,difficulty,gold_documents,gold_chunk_ids,gold_chunk_count,top_1_chunk_id,top_1_document,top_1_score,top_1_hit,hit_at_3,hit_at_5,precision_at_5,recall_at_5,full_evidence_coverage_at_5,mrr_at_5,retrieval_time_seconds,retrieved_chunk_ids,retrieved_documents,retrieved_pages,notes
V2Q001,"A Student Route visa holder spends an intercalated year at another UK university. What evidence must they give Liverpool, and by when?",paraphrased,medium,Policy on UKVI Compliance — Student Route,UOL_UKVI_complience.pdf_p11_c2,1,UOL_UKVI_complience.pdf_p11_c3,Policy on UKVI Compliance — Student Route,0.7692295,False,True,True,0.2,1.0,True,0.5,0.03284749994054437,UOL_UKVI_complience.pdf_p11_c3 | UOL_UKVI_complience.pdf_p11_c2 | UOL_UKVI_complience.pdf_p11_c1 | UOL_UKVI_complience.pdf_p6_c1 | UOL_UKVI_complience.pdf_p6_c2,Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route,11 | 11 | 11 | 6 | 6,Write the question using wording different from the source while preserving the same meaning.
V2Q002,"How should students or staff raise concerns about harassment, bullying, discrimination or victimisation?",paraphrased,medium,"University of Liverpool Diversity, Equality and Opportunity Policy",UOL_diversity-equality-opportunity-policy.pdf_p5_c3,1,UOL_diversity-equality-opportunity-policy.pdf_p5_c3,"University of Liverpool Diversity, Equality and Opportunity Policy",0.7240471,True,True,True,0.2,1.0,True,1.0,0.01520269992761314,"UOL_diversity-equality-opportunity-policy.pdf_p5_c3 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p9_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p4_c4 | UOL_diversity-equality-opportunity-policy.pdf_p18_c1 | UOL_diversity-equality-opportunity-policy.pdf_p23_c2","University of Liverpool Diversity, Equality and Opportunity Policy | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | University of Liverpool Diversity, Equality and Opportunity Policy | University of Liverpool Diversity, Equality and Opportunity Policy",5 | 9 | 4 | 18 | 23,Write the question using wording different from the source while preserving the same meaning.
V2Q003,What should a student do before submitting a claim if personal circumstances may be affecting their academic work?,procedural,medium,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p35_c3,1,UOL_extenuating_circumstances_policy.pdf_p7_c3,University of Liverpool Extenuating Circumstances Policy,0.6320561,False,False,False,0.0,0.0,False,0.0,0.014698700048029423,"UOL_extenuating_circumstances_policy.pdf_p7_c3 | UOL_student_conduct1.pdf_p3_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p13_c1 | UOL_extenuating_circumstances_policy.pdf_p5_c2 | UOL_extenuating_circumstances_policy.pdf_p11_c3",University of Liverpool Extenuating Circumstances Policy | Student Conduct Procedures — Appendix A | Student Complaints Policy and Procedure | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy,7 | 3 | 13 | 5 | 11,"Ask about a process, sequence, requirement, deadline or action described by the evidence."
V2Q004,What changed in the 2025–26 academic-integrity categories and treatment of self-plagiarism and personal extenuating circumstances?,paraphrased,medium,University of Liverpool Code of Practice on Assessment and Appendices 2025-26 — Summary of Changes,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4",1,UOL_postgraduate_handbook.pdf_p31_c1,University of Liverpool Postgraduate Handbook,0.6574673,False,True,True,0.2,1.0,True,0.5,0.015769299818202853,"UOL_postgraduate_handbook.pdf_p31_c1 | UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4 | UOL_undergraduate_handbook.pdf_p36_c9 | UOL_postgraduate_handbook.pdf_p32_c1 | UOL_undergraduate_handbook.pdf_p35_c1",University of Liverpool Postgraduate Handbook | University of Liverpool Code of Practice on Assessment and Appendices 2025-26 — Summary of Changes | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook,31 | 3 | 36 | 32 | 35,Write the question using wording different from the source while preserving the same meaning.
V2Q005,"If jury service would seriously disrupt a student's studies, the University offers no help with the court summons. Is that correct?",adversarial_false_premise,hard,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p38_c3,1,UOL_postgraduate_handbook.pdf_p34_c10,University of Liverpool Postgraduate Handbook,0.6023264,False,False,False,0.0,0.0,False,0.0,0.014643700094893575,UOL_postgraduate_handbook.pdf_p34_c10 | UOL_undergraduate_handbook.pdf_p38_c8 | UOL_undergraduate_handbook.pdf_p38_c6 | UOL_postgraduate_handbook.pdf_p34_c1 | UOL_postgraduate_handbook.pdf_p34_c8,University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook,34 | 38 | 38 | 34 | 34,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q006,What participation is expected from students involved in a student-conduct investigation?,factual,easy,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p12_c3,1,UOL_student_conduct1.pdf_p11_c3,Student Conduct Procedures — Appendix A,0.68256164,False,False,False,0.0,0.0,False,0.0,0.018858599942177534,"UOL_student_conduct1.pdf_p11_c3 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p15_c1 | UOL_student_conduct1.pdf_p11_c2 | UOL_student_conduct1.pdf_p1_c1 | UOL_student_conduct1.pdf_p11_c5",Student Conduct Procedures — Appendix A | Student Complaints Policy and Procedure | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A,11 | 15 | 11 | 1 | 11,Write a direct factual question answerable from the gold evidence.
V2Q007,When can a student be escalated to Stage Two under the Attendance Policy?,factual,easy,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1","Student Attendance Policy — Revised July 2025, Version 1.3",0.7859203,True,True,True,0.2,1.0,True,1.0,0.014110499992966652,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p8_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p6_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c5 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p12_c1","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3",7 | 8 | 6 | 5 | 12,Write a direct factual question answerable from the gold evidence.
V2Q008,What happens after a student is notified that programme-fee payments remain outstanding under the 2026–27 Payment Policy?,procedural,medium,University of Liverpool Payment Policy 2026-27,"UOL_payment_policy_2026,2027.pdf_p7_c3",1,"UOL_payment_policy_2026,2027.pdf_p7_c1",University of Liverpool Payment Policy 2026-27,0.722721,False,False,False,0.0,0.0,False,0.0,0.01555079990066588,"UOL_payment_policy_2026,2027.pdf_p7_c1 | UOL_payment_policy_2026,2027.pdf_p1_c1 | UOL_undergraduate_handbook.pdf_p36_c4 | UOL_payment_policy_2026,2027.pdf_p7_c4 | UOL_payment_policy_2026,2027.pdf_p4_c3",University of Liverpool Payment Policy 2026-27 | University of Liverpool Payment Policy 2026-27 | University of Liverpool Undergraduate Handbook | University of Liverpool Payment Policy 2026-27 | University of Liverpool Payment Policy 2026-27,7 | 1 | 36 | 7 | 4,"Ask about a process, sequence, requirement, deadline or action described by the evidence."
V2Q009,How long does a responding student normally have to reply after receiving the investigation report and allegations before Chair's Action?,paraphrased,medium,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p15_c4,1,UOL_student_conduct1.pdf_p15_c4,Student Conduct Procedures — Appendix A,0.7173311,True,True,True,0.2,1.0,True,1.0,0.014284400036558509,UOL_student_conduct1.pdf_p15_c4 | UOL_student_conduct1.pdf_p6_c3 | UOL_student_conduct1.pdf_p16_c3 | UOL_student_conduct1.pdf_p16_c4 | UOL_student_conduct1.pdf_p15_c5,Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A,15 | 6 | 16 | 16 | 15,Write the question using wording different from the source while preserving the same meaning.
V2Q010,"What kinds of circumstances can the Attendance Policy treat as an authorised absence, subject to School approval?",paraphrased,medium,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c4",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c1","Student Attendance Policy — Revised July 2025, Version 1.3",0.7682587,False,True,True,0.2,1.0,True,0.5,0.01748310006223619,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p8_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p12_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c2","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3",5 | 5 | 8 | 12 | 5,Write the question using wording different from the source while preserving the same meaning.
V2Q011,Appeal papers for a University disciplinary appeal can be provided on the day of the hearing. Is that correct?,adversarial_false_premise,hard,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p28_c1,1,UOL_student_conduct1.pdf_p25_c1,Student Conduct Procedures — Appendix A,0.6187085,False,False,False,0.0,0.0,False,0.0,0.01723669981583953,UOL_student_conduct1.pdf_p25_c1 | UOL_student_conduct1.pdf_p25_c4 | UOL_student_conduct1.pdf_p2_c4 | UOL_student_conduct1.pdf_p27_c3 | UOL_student_conduct1.pdf_p25_c3,Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A,25 | 25 | 2 | 27 | 25,Create a plausible but false premise that the evidence allows the system to explicitly reject.
