question_id,question,old_expected_documents,rank,candidate_document,candidate_chunk_id,score,candidate_text
original_007,What are the student conduct procedures?,Student Conduct Procedures — Appendix A | Student conduct Policy,1,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p3_c1,0.775873064994812,"Student Conduct, Complaints and Compliance 1 Introduction These procedures form part of the University’s Student Conduct Policy and should be operated alongside this Policy to achieve consistency across all student conduct issues. 1.1 These procedures shall adhere to the principles of natural justice namely; • that no one shall be judge in their own cause; • all decision makers be it at Local or University level shall make decisions impartially, without prejudice or any kind of personal interest in the outcome, providing reasons for these decisions and; • every party shall have the right to be heard. 1.2 Where a responding student’s conduct is a cause for concern, advice on how to proceed may, in the first instance, be sought from the Student Conduct Team. If it is determined that the resp"
original_007,What are the student conduct procedures?,Student Conduct Procedures — Appendix A | Student conduct Policy,2,Student Complaints Policy and Procedure,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p20_c1",0.7638829946517944,"Student Conduct, Complaints and Compliance 19"
original_007,What are the student conduct procedures?,Student Conduct Procedures — Appendix A | Student conduct Policy,3,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p1_c1,0.7632824182510376,University of Liverpool Appendix A – Student Conduct Procedures
original_007,What are the student conduct procedures?,Student Conduct Procedures — Appendix A | Student conduct Policy,4,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p13_c5,0.7197264432907104,"Resolution or Local Disciplinary Action, enclosing APPENDIX A – STUDENT CONDUCT POLICY PROCEDURES"
original_007,What are the student conduct procedures?,Student Conduct Procedures — Appendix A | Student conduct Policy,5,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p11_c1,0.7132644057273865,"Student Conduct, Complaints and Compliance Student Conduct Team must decide if the allegation can be dealt with under the University Disciplinary Procedure by referring to the Student Conduct Policy, section 8.3 which illustrates examples of what types of misconduct would be considered at this level. They can also refer to Appendix B – Student Conduct Breaches and Sanctions which sets out a non-exhaustive list of breaches and what category they fall into. Further advice can be sought from the Student Conduct Team if required. 6.3 For serious allegations of misconduct or where there is on-going police involvement, the matter should be referred to the Student Conduct Team who will decide in conjunction with the Head of Student Conduct, Complaints and Compliance, or their nominee, if a Risk A"
original_010,What happens if I break student conduct rules?,Student Conduct Procedures — Appendix A | Student conduct Policy | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook,1,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p6_c1,0.6681270003318787,"Student Conduct, Complaints and Compliance responding student’s opportunity to provide details of any mitigating circumstances. 3.9 Once all meeting notes have been agreed, the designated staff member will have 10 working days to review all of the evidence in the case and make a decision as to whether the alleged breach of the Student Conduct Policy has taken place or not, on the balance of probabilities. 3.10 If the responding student is found to have breached the Student Conduct Policy or has admitted the misconduct, the designated member of staff may impose a sanction in accordance with section 1.4 of Appendix B Student Conduct Breaches. Designated staff members should not usually impose any sanction other than those listed in section 1.4. However, where there are aggravating factors or"
original_010,What happens if I break student conduct rules?,Student Conduct Procedures — Appendix A | Student conduct Policy | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook,2,Student Complaints Policy and Procedure,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p20_c1",0.6674911975860596,"Student Conduct, Complaints and Compliance 19"
original_010,What happens if I break student conduct rules?,Student Conduct Procedures — Appendix A | Student conduct Policy | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook,3,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p36_c10,0.662348747253418,"r in part. Appendix B (E: studentconduct@liverpool.ac.uk). You Department, Deans of Academic Schools such cases responding students will be are responsible for updating the Student – Student Conduct Breaches and Indicative and Institutes, Directors of Professional informed regarding the alleged breach of Conduct Team via email of any changes in Sanctions provides further details regarding Services, Head of Accommodation, the Student Conduct Policy being made your circumstances or the circumstances the sanctions that can be issued by a Hall Managers and Wardens, as well as against them and the final decision with of the case. University Disciplinary Panel. organisations or individuals acting on regard to how the case is to be dealt with. behalf of the University for the purpose of student d"
original_010,What happens if I break student conduct rules?,Student Conduct Procedures — Appendix A | Student conduct Policy | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook,4,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p11_c1,0.6609314680099487,"Student Conduct, Complaints and Compliance Student Conduct Team must decide if the allegation can be dealt with under the University Disciplinary Procedure by referring to the Student Conduct Policy, section 8.3 which illustrates examples of what types of misconduct would be considered at this level. They can also refer to Appendix B – Student Conduct Breaches and Sanctions which sets out a non-exhaustive list of breaches and what category they fall into. Further advice can be sought from the Student Conduct Team if required. 6.3 For serious allegations of misconduct or where there is on-going police involvement, the matter should be referred to the Student Conduct Team who will decide in conjunction with the Head of Student Conduct, Complaints and Compliance, or their nominee, if a Risk A"
original_010,What happens if I break student conduct rules?,Student Conduct Procedures — Appendix A | Student conduct Policy | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook,5,Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p5_c3,0.6515483856201172,"se and intention not to do it again. • The responding student acknowledged the impact their behaviour/actions has had on those affected. • The misconduct was committed accidentally, by mistake, or was unintentional. • The responding student attempted or offered to make amends following the misconduct. 3.2. The University does not consider being under the influence of alcohol or drugs at the time of the breach to constitute a mitigating factor. Breaches of the University’s Student Alcohol and Drugs Policy may constitute an additional breach. 4. Financial Sanctions 4.1. Financial sanctions (other than payment for wilful damage) will not usually be imposed upon a student unless there is no suitable alternative sanction available, or the non-financial sanction is considered either insufficient"
