question_id,question,question_type,difficulty,gold_documents,gold_chunk_ids,gold_chunk_count,top_1_chunk_id,top_1_document,top_1_score,top_1_hit,hit_at_3,hit_at_5,precision_at_5,recall_at_5,full_evidence_coverage_at_5,mrr_at_5,retrieval_time_seconds,correction_applied,quality_passed,correction_reasons,retrieval_stage,rewritten_query,rewrite_applied,retrieved_chunk_ids,retrieved_documents,retrieved_pages,notes
V2Q001,"A Student Route visa holder spends an intercalated year at another UK university. What evidence must they give Liverpool, and by when?",paraphrased,medium,Policy on UKVI Compliance — Student Route,UOL_UKVI_complience.pdf_p11_c2,1,UOL_UKVI_complience.pdf_p11_c2,Policy on UKVI Compliance — Student Route,0.01626123744050767,True,True,True,0.2,1.0,True,1.0,0.0527451999951154,False,True,,initial_hybrid,,False,UOL_UKVI_complience.pdf_p11_c2 | UOL_UKVI_complience.pdf_p11_c3 | UOL_UKVI_complience.pdf_p11_c1 | UOL_UKVI_complience.pdf_p10_c3 | UOL_UKVI_complience.pdf_p6_c1,Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route,11 | 11 | 11 | 10 | 6,Write the question using wording different from the source while preserving the same meaning.
V2Q002,"How should students or staff raise concerns about harassment, bullying, discrimination or victimisation?",paraphrased,medium,"University of Liverpool Diversity, Equality and Opportunity Policy",UOL_diversity-equality-opportunity-policy.pdf_p5_c3,1,UOL_diversity-equality-opportunity-policy.pdf_p5_c3,"University of Liverpool Diversity, Equality and Opportunity Policy",0.01639344262295082,True,True,True,0.2,1.0,True,1.0,0.03368630004115403,False,True,,initial_hybrid,,False,"UOL_diversity-equality-opportunity-policy.pdf_p5_c3 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p9_c1 | UOL_diversity-equality-opportunity-policy.pdf_p18_c1 | UOL_diversity-equality-opportunity-policy.pdf_p23_c2 | UOL_diversity-equality-opportunity-policy.pdf_p9_c2","University of Liverpool Diversity, Equality and Opportunity Policy | Student Complaints Policy and Procedure | University of Liverpool Diversity, Equality and Opportunity Policy | University of Liverpool Diversity, Equality and Opportunity Policy | University of Liverpool Diversity, Equality and Opportunity Policy",5 | 9 | 18 | 23 | 9,Write the question using wording different from the source while preserving the same meaning.
V2Q003,What should a student do before submitting a claim if personal circumstances may be affecting their academic work?,procedural,medium,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p35_c3,1,UOL_extenuating_circumstances_policy.pdf_p16_c3,University of Liverpool Extenuating Circumstances Policy,0.012317055499203013,False,False,False,0.0,0.0,False,0.0,0.03605110011994839,False,True,,initial_hybrid,,False,"UOL_extenuating_circumstances_policy.pdf_p16_c3 | UOL_extenuating_circumstances_policy.pdf_p16_c5 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p8_c1 | UOL_extenuating_circumstances_policy.pdf_p17_c3 | UOL_extenuating_circumstances_policy.pdf_p11_c2",University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | Student Complaints Policy and Procedure | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy,16 | 16 | 8 | 17 | 11,"Ask about a process, sequence, requirement, deadline or action described by the evidence."
V2Q004,What changed in the 2025–26 academic-integrity categories and treatment of self-plagiarism and personal extenuating circumstances?,paraphrased,medium,University of Liverpool Code of Practice on Assessment and Appendices 2025-26 — Summary of Changes,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4",1,UOL_undergraduate_handbook.pdf_p36_c9,University of Liverpool Undergraduate Handbook,0.016133229247983348,False,True,True,0.2,1.0,True,0.3333333333333333,0.04710889980196953,False,True,,initial_hybrid,,False,"UOL_undergraduate_handbook.pdf_p36_c9 | UOL_postgraduate_handbook.pdf_p32_c1 | UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4 | UOL_postgraduate_handbook.pdf_p31_c6 | UOL_undergraduate_handbook.pdf_p35_c5",University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Code of Practice on Assessment and Appendices 2025-26 — Summary of Changes | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook,36 | 32 | 3 | 31 | 35,Write the question using wording different from the source while preserving the same meaning.
V2Q005,"If jury service would seriously disrupt a student's studies, the University offers no help with the court summons. Is that correct?",adversarial_false_premise,hard,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p38_c3,1,UOL_undergraduate_handbook.pdf_p38_c8,University of Liverpool Undergraduate Handbook,0.016129032258064516,False,False,False,0.0,0.0,False,0.0,0.03693639999255538,False,True,,initial_hybrid,,False,UOL_undergraduate_handbook.pdf_p38_c8 | UOL_postgraduate_handbook.pdf_p34_c1 | UOL_undergraduate_handbook.pdf_p38_c7 | UOL_postgraduate_handbook.pdf_p34_c8 | UOL_postgraduate_handbook.pdf_p34_c10,University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook,38 | 34 | 38 | 34 | 34,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q006,What participation is expected from students involved in a student-conduct investigation?,factual,easy,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p12_c3,1,UOL_student_conduct1.pdf_p11_c3,Student Conduct Procedures — Appendix A,0.015141165755919854,False,True,True,0.2,1.0,True,0.5,0.03471209993585944,False,True,,initial_hybrid,,False,UOL_student_conduct1.pdf_p11_c3 | UOL_student_conduct1.pdf_p12_c3 | UOL_student_conduct1.pdf_p11_c5 | UOL_student_conduct1.pdf_p11_c1 | UOL_student_conduct1.pdf_p11_c2,Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A,11 | 12 | 11 | 11 | 11,Write a direct factual question answerable from the gold evidence.
V2Q007,When can a student be escalated to Stage Two under the Attendance Policy?,factual,easy,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1","Student Attendance Policy — Revised July 2025, Version 1.3",0.01639344262295082,True,True,True,0.2,1.0,True,1.0,0.04010559991002083,False,True,,initial_hybrid,,False,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p6_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c2 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p4_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c3","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3",7 | 6 | 7 | 4 | 7,Write a direct factual question answerable from the gold evidence.
V2Q008,What happens after a student is notified that programme-fee payments remain outstanding under the 2026–27 Payment Policy?,procedural,medium,University of Liverpool Payment Policy 2026-27,"UOL_payment_policy_2026,2027.pdf_p7_c3",1,UOL_undergraduate_handbook.pdf_p36_c4,University of Liverpool Undergraduate Handbook,0.016133229247983348,False,False,False,0.0,0.0,False,0.0,0.040801299968734384,False,True,,initial_hybrid,,False,"UOL_undergraduate_handbook.pdf_p36_c4 | UOL_payment_policy_2026,2027.pdf_p1_c1 | UOL_payment_policy_2026,2027.pdf_p4_c3 | UOL_payment_policy_2026,2027.pdf_p3_c3 | UOL_postgraduate_handbook.pdf_p32_c4",University of Liverpool Undergraduate Handbook | University of Liverpool Payment Policy 2026-27 | University of Liverpool Payment Policy 2026-27 | University of Liverpool Payment Policy 2026-27 | University of Liverpool Postgraduate Handbook,36 | 1 | 4 | 3 | 32,"Ask about a process, sequence, requirement, deadline or action described by the evidence."
V2Q009,How long does a responding student normally have to reply after receiving the investigation report and allegations before Chair's Action?,paraphrased,medium,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p15_c4,1,UOL_student_conduct1.pdf_p15_c4,Student Conduct Procedures — Appendix A,0.01639344262295082,True,True,True,0.2,1.0,True,1.0,0.05139639996923506,False,True,,initial_hybrid,,False,UOL_student_conduct1.pdf_p15_c4 | UOL_student_conduct1.pdf_p14_c1 | UOL_student_conduct1.pdf_p16_c3 | UOL_student_conduct1.pdf_p15_c3 | UOL_student_conduct1.pdf_p15_c5,Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A,15 | 14 | 16 | 15 | 15,Write the question using wording different from the source while preserving the same meaning.
V2Q010,"What kinds of circumstances can the Attendance Policy treat as an authorised absence, subject to School approval?",paraphrased,medium,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c4",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c4","Student Attendance Policy — Revised July 2025, Version 1.3",0.016129032258064516,True,True,True,0.2,1.0,True,1.0,0.03866839990951121,False,True,,initial_hybrid,,False,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p4_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p6_c2","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3",5 | 5 | 5 | 4 | 6,Write the question using wording different from the source while preserving the same meaning.
V2Q011,Appeal papers for a University disciplinary appeal can be provided on the day of the hearing. Is that correct?,adversarial_false_premise,hard,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p28_c1,1,UOL_student_conduct1.pdf_p25_c1,Student Conduct Procedures — Appendix A,0.01639344262295082,False,False,True,0.2,1.0,True,0.2,0.03713840013369918,False,True,,initial_hybrid,,False,UOL_student_conduct1.pdf_p25_c1 | UOL_student_conduct1.pdf_p25_c4 | UOL_student_conduct1.pdf_p2_c4 | UOL_student_conduct1.pdf_p27_c3 | UOL_student_conduct1.pdf_p28_c1,Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A,25 | 25 | 2 | 27 | 28,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q012,"All postgraduate award credit must always be at level 7, with no level 6 credit permitted. Is that correct?",adversarial_false_premise,hard,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p23_c2,1,UOL_postgraduate_handbook.pdf_p24_c3,University of Liverpool Postgraduate Handbook,0.016009221311475412,False,False,False,0.0,0.0,False,0.0,0.03725890000350773,False,True,,initial_hybrid,,False,UOL_postgraduate_handbook.pdf_p24_c3 | UOL_postgraduate_handbook.pdf_p23_c7 | UOL_postgraduate_handbook.pdf_p23_c8 | UOL_postgraduate_handbook.pdf_p24_c1 | UOL_postgraduate_handbook.pdf_p24_c2,University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook,24 | 23 | 23 | 24 | 24,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q013,What are examples of serious sanctions that a University Disciplinary Panel may impose?,factual,easy,Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p4_c1,1,UOL_student_conduct2.pdf_p2_c2,Student Conduct Breaches and Indicative Sanctions — Appendix B,0.015549662487945998,False,False,False,0.0,0.0,False,0.0,0.0428147001657635,False,True,,initial_hybrid,,False,UOL_student_conduct2.pdf_p2_c2 | UOL_student_conduct1.pdf_p27_c1 | UOL_student_conduct2.pdf_p5_c1 | UOL_undergraduate_handbook.pdf_p40_c6 | UOL_postgraduate_handbook.pdf_p36_c6,Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Procedures — Appendix A | Student Conduct Breaches and Indicative Sanctions — Appendix B | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook,2 | 27 | 5 | 40 | 36,Write a direct factual question answerable from the gold evidence.
V2Q014,Can a full-time student normally claim extenuating circumstances because employment interfered with study or a resit?,factual,easy,University of Liverpool Extenuating Circumstances Policy,UOL_extenuating_circumstances_policy.pdf_p10_c4,1,UOL_extenuating_circumstances_policy.pdf_p10_c4,University of Liverpool Extenuating Circumstances Policy,0.01626123744050767,True,True,True,0.2,1.0,True,1.0,0.03833599993959069,False,True,,initial_hybrid,,False,UOL_extenuating_circumstances_policy.pdf_p10_c4 | UOL_extenuating_circumstances_policy.pdf_p10_c3 | UOL_extenuating_circumstances_policy.pdf_p16_c6 | UOL_extenuating_circumstances_policy.pdf_p16_c5 | UOL_extenuating_circumstances_policy.pdf_p5_c3,University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy,10 | 10 | 16 | 16 | 5,Write a direct factual question answerable from the gold evidence.
V2Q015,"If a student stops attending without completing the formal withdrawal or suspension process, their registration and fee liability automatically stop. Is that correct?",adversarial_false_premise,hard,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p33_c5,1,UOL_undergraduate_handbook.pdf_p37_c5,University of Liverpool Undergraduate Handbook,0.01626123744050767,False,True,True,0.2,1.0,True,0.5,0.04088129987940192,False,True,,initial_hybrid,,False,"UOL_undergraduate_handbook.pdf_p37_c5 | UOL_postgraduate_handbook.pdf_p33_c5 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p4_c4 | UOL_student_conduct2.pdf_p4_c1 | UOL_payment_policy_2026,2027.pdf_p1_c4","University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Conduct Breaches and Indicative Sanctions — Appendix B | University of Liverpool Payment Policy 2026-27",37 | 33 | 4 | 4 | 1,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q016,"Whose attendance requirements take priority if a professional body, sponsor or degree-apprenticeship provider sets stricter requirements than the University's minimum?",factual,easy,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c3",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c3","Student Attendance Policy — Revised July 2025, Version 1.3",0.01639344262295082,True,True,True,0.2,1.0,True,1.0,0.040144900092855096,False,True,,initial_hybrid,,False,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c2 | UOL_undergraduate_handbook.pdf_p31_c2 | UOL_undergraduate_handbook.pdf_p32_c8 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p8_c1","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | University of Liverpool Undergraduate Handbook | University of Liverpool Undergraduate Handbook | Student Attendance Policy — Revised July 2025, Version 1.3",2 | 2 | 31 | 32 | 8,Write a direct factual question answerable from the gold evidence.
