system,model,question_id,question,question_type,difficulty,expected_answer,gold_documents,gold_chunk_ids,answer,evidence_chunk_ids,evidence_texts,n_evidence,answer_words,has_citations,looks_like_refusal,latency_seconds,error
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q001,"A Student Route visa holder spends an intercalated year at another UK university. What evidence must they give Liverpool, and by when?",paraphrased,medium,They must provide evidence that they have registered at the other UK higher education institution within 10 working days of completing that registration. Failure to provide it can lead to Liverpool withdrawing sponsorship.,Policy on UKVI Compliance — Student Route,UOL_UKVI_complience.pdf_p11_c2,"

A Student Route visa holder moving to another UK university for an intercalated year would typically need to provide **evidence of a confirmed offer or acceptance from the new university** (e.g., an offer letter or confirmation of enrollment). They may also need to demonstrate continued compliance with their Student Route visa conditions, such as proof of sufficient funds or valid visa status. 

The **deadline** for submitting this evidence to the University of Liverpool would likely be **before the start of the new academic term** at the new institution. However, the exact date and specific requirements (e.g., additional documents) should be confirmed directly with the **University of Liverpool’s International Office** or Student Visa Support team, as policies can vary. 

If you are unsure, it is critical to seek clarification from the university to avoid any risk to your visa status.
",,,0,139,False,False,16.820662899990566,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q002,"How should students or staff raise concerns about harassment, bullying, discrimination or victimisation?",paraphrased,medium,"They should bring the incident to an appropriate person such as their line manager, Head of Department, HR Business Partner or programme leader. They can also use the University's Report and Support service, either named or anonymously, for reporting and guidance.","University of Liverpool Diversity, Equality and Opportunity Policy",UOL_diversity-equality-opportunity-policy.pdf_p5_c3,"

Students or staff should contact the **Student Support and Wellbeing team** or the **Equality and Diversity office** at the University of Liverpool to raise concerns about harassment, bullying, discrimination, or victimisation. They can also approach a trusted staff member, union representative, or use the university’s online reporting system (if available). If unsure, they may seek guidance from a designated staff member. Always ensure the process aligns with the university’s official policies, which can be found on their website.
",,,0,78,False,False,9.055911600007676,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q003,What should a student do before submitting a claim if personal circumstances may be affecting their academic work?,procedural,medium,"They should seek advice from an Academic Adviser or an appropriate support service, such as Wellbeing Advice and Guidance, Disability Advice and Guidance, or a Student Support Team, so they can discuss the circumstances and obtain guidance before submitting the claim.",University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p35_c3,"

The student should contact their school or department and discuss their situation with an academic advisor or support staff before submitting a claim. This allows them to receive appropriate guidance and support tailored to their specific circumstances. 

If you are unsure about the exact process at the University of Liverpool, I recommend reaching out to the university's student support services for precise instructions.
",,,0,63,False,False,12.324188999948092,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q004,What changed in the 2025–26 academic-integrity categories and treatment of self-plagiarism and personal extenuating circumstances?,paraphrased,medium,"The categories were reduced from five to four and relabelled Category 1 to Category 4, with the former minor-error category removed. Self-plagiarism/re-use of work was added as an offence. Personal Extenuating Circumstances do not excuse academic misconduct, although accepted circumstances may mitigate penalties for Category 2–4 offences.",University of Liverpool Code of Practice on Assessment and Appendices 2025-26 — Summary of Changes,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4","

I don’t have specific information about changes to the 2025–26 academic integrity categories, self-plagiarism policies, or treatment of personal extenuating circumstances at the University of Liverpool. Policies can evolve, but any updates would typically be communicated through official university channels (e.g., the Student Union, academic integrity guidelines, or direct student communications). 

For the most accurate and up-to-date details, I recommend checking the university’s official website or contacting the Student Support team directly.
",,,0,72,False,True,8.073416600003839,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q005,"If jury service would seriously disrupt a student's studies, the University offers no help with the court summons. Is that correct?",adversarial_false_premise,hard,"No. The handbook indicates that Student Life/the Director of Student Life may write to HM Courts Service, enclosing the summons and explaining the detrimental disruption jury service could cause to the student's studies.",University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p38_c3,"

I'm not certain about the specific policy of the University of Liverpool regarding jury service disruptions. Policies can vary, and it's possible the university may offer some form of support or guidance in such cases. I recommend contacting the university's student support services directly for accurate and up-to-date information.
",,,0,49,False,False,5.116874600062147,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q006,What participation is expected from students involved in a student-conduct investigation?,factual,easy,"Students are expected to engage fully, including attending investigation meetings, agreeing meeting notes or statements, and attending University Disciplinary Panels when required. Reasonable adjustments will be considered where needed.",Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p12_c3,"

I'm not certain about the specific expectations for student participation in a student-conduct investigation at the University of Liverpool, as this would depend on the university's official policies and procedures. For accurate and detailed information, I recommend consulting the university's student conduct guidelines or contacting their student support services directly.
",,,0,50,False,False,8.140809100004844,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q007,When can a student be escalated to Stage Two under the Attendance Policy?,factual,easy,A student is escalated to Stage Two when their absence reaches eight consecutive unauthorised missed contact points.,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1","

I’m not certain about the specific criteria for escalation to Stage Two under the University of Liverpool’s Attendance Policy. Policies can vary, and I don’t have access to the exact details of this policy. I recommend checking the official Attendance Policy document or contacting the Student Support Services team for precise information.
",,,0,52,False,True,6.701598100014962,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q008,What happens after a student is notified that programme-fee payments remain outstanding under the 2026–27 Payment Policy?,procedural,medium,"The University gives the student five working days' written notice to settle the outstanding balance. If it is not paid within that period, the University may apply the academic sanctions described in the policy. Students on sanctions are encouraged to contact Student Fees and Funding promptly.",University of Liverpool Payment Policy 2026-27,"UOL_payment_policy_2026,2027.pdf_p7_c3","

After a student is notified that programme-fee payments remain outstanding under the 2026–27 Payment Policy, the university typically expects the student to settle the outstanding amount as soon as possible. If the payment is not made by the specified deadline, the university may take further actions, such as suspending the student’s enrollment, applying additional administrative fees, or escalating the matter to a collections process. However, the exact consequences depend on the specific terms outlined in the 2026–27 Payment Policy. For precise details, the student should contact the University of Liverpool’s Student Finance or relevant administrative office directly.
",,,0,97,False,False,8.584903300041333,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q009,How long does a responding student normally have to reply after receiving the investigation report and allegations before Chair's Action?,paraphrased,medium,"They normally have seven working days to say whether they admit or deny the alleged breaches, unless a valid reason is accepted for extra time. If they do not respond, Chair's Action may proceed without their involvement.",Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p15_c4,"

I'm not certain of the exact timeframe for the University of Liverpool's specific policy regarding the responding student's reply period after receiving the investigation report and allegations. University procedures can vary, and it's best to consult the official student conduct guidelines or contact the Student Support Office for precise details.
",,,0,50,False,True,8.67456840001978,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q010,"What kinds of circumstances can the Attendance Policy treat as an authorised absence, subject to School approval?",paraphrased,medium,"Examples include medical appointments, caring responsibilities, bereavement or compassionate grounds, unforeseen emergencies, unavoidable events such as transport strikes, immigration appointments, career-related appointments, employment-related absence, religious observance, volunteering, jury service and certain military activities.","Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c4","

I’m not certain about the specific circumstances outlined in the University of Liverpool’s Attendance Policy, as policies can vary by school or department. For the most accurate and up-to-date information, I recommend checking the official Attendance Policy document or contacting your school’s administration directly. They can provide details on what absences require approval and under what conditions.
",,,0,57,False,True,8.063293599989265,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q011,Appeal papers for a University disciplinary appeal can be provided on the day of the hearing. Is that correct?,adversarial_false_premise,hard,No. The appeal documentation must be provided to all parties no less than five working days before the hearing.,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p28_c1,"

I'm not certain about the specific policy at the University of Liverpool regarding submitting appeal papers on the day of the hearing. It’s important to confirm this directly with the University’s Student Services or the relevant disciplinary office, as procedures can vary. I recommend checking their official guidelines or contacting them for accurate information.
",,,0,54,False,True,7.502668100059964,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q012,"All postgraduate award credit must always be at level 7, with no level 6 credit permitted. Is that correct?",adversarial_false_premise,hard,"No. The handbook indicates that some postgraduate award structures may include a limited amount of level 6 credit alongside level 7 credit, subject to the requirements of the particular award.",University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p23_c2,"

The requirement that all postgraduate award credit must be at level 7 with no level 6 credit permitted is not a universally fixed rule across all postgraduate programs. While many master’s-level awards (level 7) are standard, some programs or modules may include level 6 (postgraduate certificate/diploma) credit depending on the specific award structure. The University of Liverpool’s policies may vary by program, so it’s best to confirm with your department or the awarding body for exact requirements. I cannot confirm this as an absolute rule without specific institutional guidance.
",,,0,89,False,True,8.028457699925639,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q013,What are examples of serious sanctions that a University Disciplinary Panel may impose?,factual,easy,"Examples include termination of studies, potentially with conditions about an exit award or future re-registration; restrictions relating to academic references; and consequences for University accommodation following suspension or termination. Any other sanction must be proportionate and relevant to the breach.",Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p4_c1,"

The University of Liverpool's disciplinary panel may impose serious sanctions such as **expulsion** (permanent removal from the university) or **suspension** (temporary or conditional removal, e.g., until certain requirements are met). Other potential serious sanctions could include mandatory counseling, community service, or a formal reprimand with long-term consequences. However, the exact sanctions depend on the severity of the offense and the specific circumstances of the case. 

If you need precise details about the University of",,,0,74,False,False,15.589382499922067,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q014,Can a full-time student normally claim extenuating circumstances because employment interfered with study or a resit?,factual,easy,"No. Full-time students are not normally eligible to claim extenuating circumstances for employment, including employment affecting resit examinations during vacation periods. Part-time students may need written employer evidence when unexpected work duties prevent study or assessment attendance.",University of Liverpool Extenuating Circumstances Policy,UOL_extenuating_circumstances_policy.pdf_p10_c4,"

The University of Liverpool's policy on extenuating circumstances typically requires that the situation be exceptional, unforeseen, and beyond the student's control. Employment interference alone is generally not considered an extenuating circumstance unless it involves extraordinary circumstances (e.g., sudden loss of employment due to unforeseen events). Students should consult the university's Student Support or Examinations Office for specific guidance, as policies may vary and require documentation to support the claim.
",,,0,69,False,True,7.870083499932662,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q015,"If a student stops attending without completing the formal withdrawal or suspension process, their registration and fee liability automatically stop. Is that correct?",adversarial_false_premise,hard,No. The handbook warns that failing to complete the proper withdrawal or suspension process can leave registration active and programme-fee liability continuing to accrue.,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p33_c5,"

The University of Liverpool's specific policies on this matter would need to be confirmed directly with the university's Student Support or Registrar's Office. While many institutions require formal withdrawal or suspension processes to terminate registration and fee liability, I cannot confirm this definitively without explicit policy details. It is advisable to consult official university resources or contact support services for accurate guidance.
",,,0,62,False,True,6.881884100032039,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q016,"Whose attendance requirements take priority if a professional body, sponsor or degree-apprenticeship provider sets stricter requirements than the University's minimum?",factual,easy,"The stricter requirements of the professional or statutory regulatory body, sponsor, or degree-apprenticeship provider take priority.","Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c3","

The University of Liverpool's attendance requirements are generally the minimum standards set by the institution. However, if a professional body, sponsor, or degree-apprenticeship provider imposes stricter attendance requirements, **those external requirements would typically take priority** for the student to meet, as they may be necessary to fulfill external obligations (e.g., accreditation, sponsorship agreements, or professional standards). 

**Important:** This is a general principle, and specific cases may vary. I am not certain about the exact policy at the University of Liverpool, so I recommend confirming with your program office, sponsor, or the University’s Student Support team for definitive guidance.
",,,0,98,False,False,8.096864800085314,
S0_llm_only,nvidia/nvidia-nemotron-nano-9b-v2,V2Q017,What sanctions may follow a Category 2 student-conduct breach?,procedural,medium,"Category 2 breaches may attract Category 1 sanctions plus measures such as a final written warning, mandatory training or a workshop, restorative action, restrictions on contacting a complainant, or restrictions on representing the University. Sanctions should be relevant and proportionate.",Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p3_c1,"

I'm not certain about the specific sanctions for a Category 2 student-conduct breach at the University of Liverpool, as this would depend on the exact nature of the breach and the university's current policies. For precise details, I recommend consulting the official Student Conduct Policy or contacting the Student Support Office directly. They can provide accurate, up-to-date information tailored to your situation.
",,,0,62,False,False,8.879697500029579,
