question_id,question,question_type,difficulty,gold_documents,gold_chunk_ids,gold_chunk_count,top_1_chunk_id,top_1_document,top_1_score,top_1_hit,hit_at_3,hit_at_5,precision_at_5,recall_at_5,full_evidence_coverage_at_5,mrr_at_5,retrieval_time_seconds,retrieved_chunk_ids,retrieved_documents,retrieved_pages,notes
V2Q001,"A Student Route visa holder spends an intercalated year at another UK university. What evidence must they give Liverpool, and by when?",paraphrased,medium,Policy on UKVI Compliance — Student Route,UOL_UKVI_complience.pdf_p11_c2,1,UOL_UKVI_complience.pdf_p11_c2,Policy on UKVI Compliance — Student Route,41.29702291324884,True,True,True,0.2,1.0,True,1.0,0.009773199912160635,UOL_UKVI_complience.pdf_p11_c2 | UOL_UKVI_complience.pdf_p11_c1 | UOL_UKVI_complience.pdf_p11_c3 | UOL_UKVI_complience.pdf_p2_c5 | UOL_UKVI_complience.pdf_p10_c3,Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route,11 | 11 | 11 | 2 | 10,Write the question using wording different from the source while preserving the same meaning.
V2Q002,"How should students or staff raise concerns about harassment, bullying, discrimination or victimisation?",paraphrased,medium,"University of Liverpool Diversity, Equality and Opportunity Policy",UOL_diversity-equality-opportunity-policy.pdf_p5_c3,1,UOL_diversity-equality-opportunity-policy.pdf_p5_c3,"University of Liverpool Diversity, Equality and Opportunity Policy",29.22030093616443,True,True,True,0.2,1.0,True,1.0,0.00597400008700788,"UOL_diversity-equality-opportunity-policy.pdf_p5_c3 | UOL_diversity-equality-opportunity-policy.pdf_p18_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p9_c1 | UOL_diversity-equality-opportunity-policy.pdf_p28_c1 | UOL_diversity-equality-opportunity-policy.pdf_p23_c2","University of Liverpool Diversity, Equality and Opportunity Policy | University of Liverpool Diversity, Equality and Opportunity Policy | Student Complaints Policy and Procedure | University of Liverpool Diversity, Equality and Opportunity Policy | University of Liverpool Diversity, Equality and Opportunity Policy",5 | 18 | 9 | 28 | 23,Write the question using wording different from the source while preserving the same meaning.
V2Q003,What should a student do before submitting a claim if personal circumstances may be affecting their academic work?,procedural,medium,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p35_c3,1,UOL_postgraduate_handbook.pdf_p31_c4,University of Liverpool Postgraduate Handbook,27.743889828606978,False,True,True,0.2,1.0,True,0.5,0.007039299933239818,UOL_postgraduate_handbook.pdf_p31_c4 | UOL_undergraduate_handbook.pdf_p35_c3 | UOL_postgraduate_handbook.pdf_p30_c1 | UOL_undergraduate_handbook.pdf_p34_c1 | UOL_postgraduate_handbook.pdf_p31_c3,University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook,31 | 35 | 30 | 34 | 31,"Ask about a process, sequence, requirement, deadline or action described by the evidence."
V2Q004,What changed in the 2025–26 academic-integrity categories and treatment of self-plagiarism and personal extenuating circumstances?,paraphrased,medium,University of Liverpool Code of Practice on Assessment and Appendices 2025-26 — Summary of Changes,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4",1,UOL_undergraduate_handbook.pdf_p36_c9,University of Liverpool Undergraduate Handbook,34.05738977351418,False,False,False,0.0,0.0,False,0.0,0.006685200147330761,"UOL_undergraduate_handbook.pdf_p36_c9 | UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c3 | UOL_postgraduate_handbook.pdf_p32_c1 | UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p1_c1 | UOL_postgraduate_handbook.pdf_p30_c1",University of Liverpool Undergraduate Handbook | University of Liverpool Code of Practice on Assessment and Appendices 2025-26 — Summary of Changes | University of Liverpool Postgraduate Handbook | University of Liverpool Code of Practice on Assessment and Appendices 2025-26 — Summary of Changes | University of Liverpool Postgraduate Handbook,36 | 3 | 32 | 1 | 30,Write the question using wording different from the source while preserving the same meaning.
V2Q005,"If jury service would seriously disrupt a student's studies, the University offers no help with the court summons. Is that correct?",adversarial_false_premise,hard,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p38_c3,1,UOL_undergraduate_handbook.pdf_p38_c7,University of Liverpool Undergraduate Handbook,32.35321356406766,False,False,False,0.0,0.0,False,0.0,0.00798239978030324,UOL_undergraduate_handbook.pdf_p38_c7 | UOL_undergraduate_handbook.pdf_p38_c8 | UOL_postgraduate_handbook.pdf_p34_c7 | UOL_postgraduate_handbook.pdf_p34_c1 | UOL_undergraduate_handbook.pdf_p38_c5,University of Liverpool Undergraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook,38 | 38 | 34 | 34 | 38,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q006,What participation is expected from students involved in a student-conduct investigation?,factual,easy,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p12_c3,1,UOL_student_conduct1.pdf_p19_c3,Student Conduct Procedures — Appendix A,19.08819070614442,False,False,False,0.0,0.0,False,0.0,0.006397600052878261,"UOL_student_conduct1.pdf_p19_c3 | UOL_undergraduate_handbook.pdf_p15_c2 | UOL_postgraduate_handbook.pdf_p15_c2 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p10_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c1","Student Conduct Procedures — Appendix A | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Complaints Policy and Procedure",19 | 15 | 15 | 10 | 12,Write a direct factual question answerable from the gold evidence.
V2Q007,When can a student be escalated to Stage Two under the Attendance Policy?,factual,easy,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1","Student Attendance Policy — Revised July 2025, Version 1.3",30.504708254147772,True,True,True,0.2,1.0,True,1.0,0.005519599886611104,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p6_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c2 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p4_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p4_c3","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3",7 | 6 | 7 | 4 | 4,Write a direct factual question answerable from the gold evidence.
V2Q008,What happens after a student is notified that programme-fee payments remain outstanding under the 2026–27 Payment Policy?,procedural,medium,University of Liverpool Payment Policy 2026-27,"UOL_payment_policy_2026,2027.pdf_p7_c3",1,UOL_undergraduate_handbook.pdf_p36_c4,University of Liverpool Undergraduate Handbook,29.157819849450206,False,False,False,0.0,0.0,False,0.0,0.006859100190922618,"UOL_undergraduate_handbook.pdf_p36_c4 | UOL_payment_policy_2026,2027.pdf_p3_c3 | UOL_postgraduate_handbook.pdf_p32_c4 | UOL_payment_policy_2026,2027.pdf_p1_c1 | UOL_payment_policy_2026,2027.pdf_p8_c2",University of Liverpool Undergraduate Handbook | University of Liverpool Payment Policy 2026-27 | University of Liverpool Postgraduate Handbook | University of Liverpool Payment Policy 2026-27 | University of Liverpool Payment Policy 2026-27,36 | 3 | 32 | 1 | 8,"Ask about a process, sequence, requirement, deadline or action described by the evidence."
V2Q009,How long does a responding student normally have to reply after receiving the investigation report and allegations before Chair's Action?,paraphrased,medium,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p15_c4,1,UOL_student_conduct1.pdf_p15_c4,Student Conduct Procedures — Appendix A,34.30202946985936,True,True,True,0.2,1.0,True,1.0,0.007258200086653233,UOL_student_conduct1.pdf_p15_c4 | UOL_student_conduct1.pdf_p14_c1 | UOL_student_conduct1.pdf_p15_c3 | UOL_student_conduct1.pdf_p10_c4 | UOL_student_conduct1.pdf_p14_c3,Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A,15 | 14 | 15 | 10 | 14,Write the question using wording different from the source while preserving the same meaning.
V2Q010,"What kinds of circumstances can the Attendance Policy treat as an authorised absence, subject to School approval?",paraphrased,medium,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c4",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c3","Student Attendance Policy — Revised July 2025, Version 1.3",28.378504030342672,False,True,True,0.2,1.0,True,0.5,0.009100000141188502,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c4 | UOL_UKVI_complience.pdf_p3_c4 | UOL_extenuating_circumstances_policy.pdf_p12_c2 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c1","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Policy on UKVI Compliance — Student Route | University of Liverpool Extenuating Circumstances Policy | Student Attendance Policy — Revised July 2025, Version 1.3",5 | 5 | 3 | 12 | 5,Write the question using wording different from the source while preserving the same meaning.
V2Q011,Appeal papers for a University disciplinary appeal can be provided on the day of the hearing. Is that correct?,adversarial_false_premise,hard,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p28_c1,1,UOL_student_conduct1.pdf_p25_c1,Student Conduct Procedures — Appendix A,38.50870148967389,False,False,False,0.0,0.0,False,0.0,0.007523400010541081,UOL_student_conduct1.pdf_p25_c1 | UOL_student_conduct1.pdf_p25_c4 | UOL_student_conduct1.pdf_p26_c1 | UOL_student_conduct1.pdf_p2_c4 | UOL_student_conduct1.pdf_p27_c3,Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A,25 | 25 | 26 | 2 | 27,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q012,"All postgraduate award credit must always be at level 7, with no level 6 credit permitted. Is that correct?",adversarial_false_premise,hard,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p23_c2,1,UOL_postgraduate_handbook.pdf_p23_c7,University of Liverpool Postgraduate Handbook,41.591691960250685,False,True,True,0.2,1.0,True,0.5,0.007197299972176552,UOL_postgraduate_handbook.pdf_p23_c7 | UOL_postgraduate_handbook.pdf_p23_c2 | UOL_postgraduate_handbook.pdf_p24_c2 | UOL_postgraduate_handbook.pdf_p24_c3 | UOL_postgraduate_handbook.pdf_p24_c1,University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook,23 | 23 | 24 | 24 | 24,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q013,What are examples of serious sanctions that a University Disciplinary Panel may impose?,factual,easy,Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p4_c1,1,UOL_student_conduct2.pdf_p5_c1,Student Conduct Breaches and Indicative Sanctions — Appendix B,22.788459865646796,False,False,False,0.0,0.0,False,0.0,0.005431900033727288,UOL_student_conduct2.pdf_p5_c1 | UOL_student_conduct1.pdf_p11_c1 | UOL_student_conduct1.pdf_p27_c1 | UOL_postgraduate_handbook.pdf_p36_c6 | UOL_undergraduate_handbook.pdf_p40_c7,Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook,5 | 11 | 27 | 36 | 40,Write a direct factual question answerable from the gold evidence.
V2Q014,Can a full-time student normally claim extenuating circumstances because employment interfered with study or a resit?,factual,easy,University of Liverpool Extenuating Circumstances Policy,UOL_extenuating_circumstances_policy.pdf_p10_c4,1,UOL_extenuating_circumstances_policy.pdf_p10_c3,University of Liverpool Extenuating Circumstances Policy,30.216064805116858,False,True,True,0.2,1.0,True,0.5,0.00662730005569756,UOL_extenuating_circumstances_policy.pdf_p10_c3 | UOL_extenuating_circumstances_policy.pdf_p10_c4 | UOL_extenuating_circumstances_policy.pdf_p16_c6 | UOL_extenuating_circumstances_policy.pdf_p16_c5 | UOL_extenuating_circumstances_policy.pdf_p11_c4,University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy,10 | 10 | 16 | 16 | 11,Write a direct factual question answerable from the gold evidence.
