question_id,fact_no,fact
V2Q001,1,They must provide Liverpool with evidence that they have registered at the other UK higher education institution.
V2Q001,2,They must submit that evidence within 10 working days of completing their registration.
V2Q001,3,Failure to provide the evidence can result in Liverpool withdrawing their Student Route sponsorship.
V2Q001,4,The requirement applies to Student Route visa holders undertaking an intercalated year at another UK higher education institution.
V2Q002,1,"They should raise the concern with an appropriate person such as their line manager, Head of Department, HR Business Partner or programme leader."
V2Q002,2,"They can also use the University's Report and Support service, either named or anonymously, to report the incident and seek advice or guidance."
V2Q003,1,"They should seek advice from their Academic Adviser or an appropriate support service, such as Wellbeing Advice and Guidance, Disability Advice and Guidance, or a Student Support Team."
V2Q003,2,They should discuss their circumstances and obtain advice before submitting the claim.
V2Q005,1,Rejects or corrects the false premise in the question
V2Q005,2,The University can provide help by having Student Life/the Director of Student Life write to HM Courts Service with the summons and explain the detrimental disruption jury service could cause to the student's studies.
V2Q005,3,Rejects or corrects the false premise.
V2Q006,1,"Students are expected to engage fully with the student-conduct procedure, including attending investigation meetings, agreeing meeting notes or statements, and attending University Disciplinary Panels when required."
V2Q007,1,A student is escalated to Stage Two when their absence reaches eight consecutive unauthorised missed contact points.
V2Q008,1,The University gives the student five working days' written notice to settle the outstanding account balance.
V2Q008,2,"If the outstanding balance is not paid within five working days, the University will seek to apply the sanctions prescribed in the policy."
V2Q008,3,Students placed on sanctions are encouraged to contact the Student Fees and Funding Office promptly to discuss their financial position.
V2Q011,1,Rejects or corrects the false premise in the question
V2Q011,2,Rejects or corrects the false premise.
V2Q011,3,The appeal documentation must be provided to all parties no less than five working days before the hearing.
V2Q012,1,Rejects or corrects the false premise in the question
V2Q012,2,"Some postgraduate award structures may permit a limited amount of level 6 credit alongside level 7 credit, subject to the requirements of the particular award."
V2Q013,1,"Examples of serious sanctions include termination of studies, restrictions on academic references, and suspension or termination of University accommodation following suspension or termination of studies."
V2Q014,1,"No. Full-time students are not normally eligible to claim extenuating circumstances for employment, including employment affecting resit examinations during vacation periods."
V2Q015,1,Rejects or corrects the false premise in the question
V2Q015,2,Failing to complete the proper withdrawal or suspension process can leave the student's registration active and their programme-fee liability continuing to accrue.
V2Q016,1,"Where attendance requirements set by a professional or statutory regulatory body, sponsor, or degree-apprenticeship provider are more rigorous than the University's minimum requirements, those stricter requirements prevail."
V2Q017,1,Category 2 breaches may attract the sanctions available for Category 1 breaches.
V2Q017,2,"Additional sanctions may include a final written warning, mandatory attendance at a workshop or course, restorative action, restrictions on contacting the complainant, or restrictions on representing the University."
V2Q017,3,Sanctions imposed for a Category 2 breach should be relevant and proportionate to the breach.
V2Q020,1,The student is permitted one re-sit or re-take of each affected examination or assessment.
V2Q020,2,This applies where the Extenuating Circumstances Committee has judged the performance to have been affected and the Board of Examiners has offered the reassessment option.
V2Q021,1,"The University may administratively interrupt or withdraw the student from their programme, report the change of circumstances to UKVI, and withdraw its current sponsorship."
V2Q024,1,"They must be referred to the UKVI Attendance Compliance Panel, rather than the normal formal progression route."
V2Q029,1,The University undertakes an annual risk-based review of all outstanding programme-fee debts.
V2Q029,2,The results of the review are used to inform decision-making before applying the academic sanctions identified in the policy.
V2Q032,1,"The assessment considers the affected person's perception, the circumstances surrounding the conduct, and whether it is reasonable for the conduct to have had the relevant effect."
V2Q038,1,The University's academic regulations and codes of practice change over time.
V2Q038,2,Students should use the framework applicable to their cohort and degree so that the correct rules and expectations are applied.
V2Q039,1,"The SLC pays the 2026–27 programme-fee loan to the University in three disbursements: 25% on 28 September 2026, 25% on 11 January 2027, and 50% on 5 April 2027."
V2Q039,2,Each disbursement is subject to the student being confirmed as in attendance on the relevant liability date.
V2Q042,1,Unauthorised entry onto or unauthorised use of University premises is classified as a Category 1 or Category 2 breach.
V2Q043,1,The Master's dissertation or PhD writing-up period still counts as term time.
V2Q043,2,The student should not plan to work more than 20 hours per week during this period.
V2Q043,3,The student should remain living in the Liverpool area during their studies.
V2Q048,1,"International Advice and Guidance (IAG), based in Student Services, provides professional and expert immigration-related advice and support to international students."
V2Q049,1,"They normally need to request a new Confirmation of Acceptance for Studies (CAS) from the University around three months before returning, so they can apply for and be issued a new Student Route visa."
V2Q050,1,"The Student Complaints Procedure has three stages: Early Resolution, Formal Complaint, and Review."
V2Q050,2,A student can escalate through these stages when they consider that the issue has not been resolved satisfactorily.
V2Q051,1,They should comply with the responsibilities set out in the University's guidance for Student visa holders.
V2Q051,2,They should keep their required immigration documentation up to date.
V2Q051,3,They should inform the University of relevant changes because the University has duties to report certain changes to UKVI.
V2Q052,1,They should first report the crime to the Police.
V2Q052,2,"If they need ongoing support, they should contact the University's Wellbeing Team."
V2Q055,1,They should first report the crime to the Police
V2Q055,2,"If they need ongoing support, they may contact the University's Wellbeing Team."
V2Q055,3,They can also report the incident to the University through its online reporting tool.
V2Q056,1,"The substance must be identified as the relevant Class A controlled drug by the student or a suitably qualified individual or organisation, rather than being assumed to be one."
V2Q056,2,This reliable identification is required because the conduct classification depends on evidence that the substance is actually the controlled drug in question.
V2Q058,1,"Eligible challenges to Board of Examiners decisions can be made through the University's assessment-appeal process, subject to the applicable grounds and procedures."
V2Q059,1,"A concern should move to the Formal Complaint stage if the student is dissatisfied with the Early Resolution response, cannot reasonably approach the person complained about, or considers the complaint too serious to be resolved informally."
V2Q059,2,"If the complaint requires an investigation, it must be escalated to the formal stage."
V2Q061,1,The Academic Integrity Officer (AIO) investigates the offence.
V2Q061,2,The Academic Integrity Committee (AIC) makes recommendations on the investigation outcome.
V2Q061,3,The Board of Examiners makes the final decision on the offence and penalty.
V2Q063,1,Prior learning credit must be recognised against specific learning outcomes rather than as general credit.
V2Q063,2,The updated policy incorporates the key RPL principles set out in QAA guidance.
V2Q066,1,"The Review request should explain the grounds for Review, the nature of the complaint, why the student remains dissatisfied, and the remedy they are seeking"
V2Q066,2,The student should provide all relevant documentation or other evidence they want considered.
V2Q066,3,New issues should not normally be raised at Review unless they concern the procedural conduct of the Formal Complaint stage.
