question_id,question,question_type,difficulty,gold_documents,gold_chunk_ids,gold_chunk_count,top_1_chunk_id,top_1_document,top_1_score,top_1_hit,hit_at_3,hit_at_5,precision_at_5,recall_at_5,full_evidence_coverage_at_5,mrr_at_5,retrieval_time_seconds,retrieved_chunk_ids,retrieved_documents,retrieved_pages,dense_ranks,bm25_ranks,hybrid_scores,notes
V2Q001,"A Student Route visa holder spends an intercalated year at another UK university. What evidence must they give Liverpool, and by when?",paraphrased,medium,Policy on UKVI Compliance — Student Route,UOL_UKVI_complience.pdf_p11_c2,1,UOL_UKVI_complience.pdf_p11_c2,Policy on UKVI Compliance — Student Route,0.01626123744050767,True,True,True,0.2,1.0,True,1.0,0.057929900009185076,UOL_UKVI_complience.pdf_p11_c2 | UOL_UKVI_complience.pdf_p11_c3 | UOL_UKVI_complience.pdf_p11_c1 | UOL_UKVI_complience.pdf_p10_c3 | UOL_UKVI_complience.pdf_p6_c1,Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route,11 | 11 | 11 | 10 | 6,2 | 1 | 3 | 11 | 4,1 | 3 | 2 | 5 | 16,0.016261 | 0.016133 | 0.016001 | 0.014735 | 0.014391,Write the question using wording different from the source while preserving the same meaning.
V2Q002,"How should students or staff raise concerns about harassment, bullying, discrimination or victimisation?",paraphrased,medium,"University of Liverpool Diversity, Equality and Opportunity Policy",UOL_diversity-equality-opportunity-policy.pdf_p5_c3,1,UOL_diversity-equality-opportunity-policy.pdf_p5_c3,"University of Liverpool Diversity, Equality and Opportunity Policy",0.01639344262295082,True,True,True,0.2,1.0,True,1.0,0.03622179990634322,"UOL_diversity-equality-opportunity-policy.pdf_p5_c3 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p9_c1 | UOL_diversity-equality-opportunity-policy.pdf_p18_c1 | UOL_diversity-equality-opportunity-policy.pdf_p23_c2 | UOL_diversity-equality-opportunity-policy.pdf_p9_c2","University of Liverpool Diversity, Equality and Opportunity Policy | Student Complaints Policy and Procedure | University of Liverpool Diversity, Equality and Opportunity Policy | University of Liverpool Diversity, Equality and Opportunity Policy | University of Liverpool Diversity, Equality and Opportunity Policy",5 | 9 | 18 | 23 | 9,1 | 2 | 4 | 5 | 9,1 | 3 | 2 | 5 | 7,0.016393 | 0.016001 | 0.015877 | 0.015385 | 0.014709,Write the question using wording different from the source while preserving the same meaning.
V2Q003,What should a student do before submitting a claim if personal circumstances may be affecting their academic work?,procedural,medium,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p35_c3,1,UOL_extenuating_circumstances_policy.pdf_p7_c3,University of Liverpool Extenuating Circumstances Policy,0.00819672131147541,False,True,True,0.2,1.0,True,0.3333333333333333,0.03461740002967417,"UOL_extenuating_circumstances_policy.pdf_p7_c3 | UOL_postgraduate_handbook.pdf_p31_c4 | UOL_undergraduate_handbook.pdf_p35_c3 | UOL_student_conduct1.pdf_p3_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p13_c1",University of Liverpool Extenuating Circumstances Policy | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook | Student Conduct Procedures — Appendix A | Student Complaints Policy and Procedure,7 | 31 | 35 | 3 | 13,1 | NA | NA | 2 | 3,NA | 1 | 2 | NA | NA,0.008197 | 0.008197 | 0.008065 | 0.008065 | 0.007937,"Ask about a process, sequence, requirement, deadline or action described by the evidence."
V2Q004,What changed in the 2025–26 academic-integrity categories and treatment of self-plagiarism and personal extenuating circumstances?,paraphrased,medium,University of Liverpool Code of Practice on Assessment and Appendices 2025-26 — Summary of Changes,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4",1,UOL_undergraduate_handbook.pdf_p36_c9,University of Liverpool Undergraduate Handbook,0.016133229247983348,False,True,True,0.2,1.0,True,0.3333333333333333,0.0332500000949949,"UOL_undergraduate_handbook.pdf_p36_c9 | UOL_postgraduate_handbook.pdf_p32_c1 | UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4 | UOL_postgraduate_handbook.pdf_p31_c6 | UOL_undergraduate_handbook.pdf_p35_c5",University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Code of Practice on Assessment and Appendices 2025-26 — Summary of Changes | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook,36 | 32 | 3 | 31 | 35,3 | 4 | 2 | 6 | 7,1 | 3 | 7 | 14 | 18,0.016133 | 0.015749 | 0.015527 | 0.014333 | 0.013873,Write the question using wording different from the source while preserving the same meaning.
V2Q005,"If jury service would seriously disrupt a student's studies, the University offers no help with the court summons. Is that correct?",adversarial_false_premise,hard,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p38_c3,1,UOL_undergraduate_handbook.pdf_p38_c8,University of Liverpool Undergraduate Handbook,0.016129032258064516,False,False,False,0.0,0.0,False,0.0,0.04253580002114177,UOL_undergraduate_handbook.pdf_p38_c8 | UOL_postgraduate_handbook.pdf_p34_c1 | UOL_undergraduate_handbook.pdf_p38_c7 | UOL_postgraduate_handbook.pdf_p34_c8 | UOL_postgraduate_handbook.pdf_p34_c10,University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook,38 | 34 | 38 | 34 | 34,2 | 4 | 8 | 5 | 1,2 | 4 | 1 | 6 | 12,0.016129 | 0.015625 | 0.01555 | 0.015268 | 0.015141,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q006,What participation is expected from students involved in a student-conduct investigation?,factual,easy,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p12_c3,1,UOL_student_conduct1.pdf_p11_c3,Student Conduct Procedures — Appendix A,0.015141165755919854,False,True,True,0.2,1.0,True,0.5,0.028278799960389733,UOL_student_conduct1.pdf_p11_c3 | UOL_student_conduct1.pdf_p12_c3 | UOL_student_conduct1.pdf_p11_c5 | UOL_student_conduct1.pdf_p11_c1 | UOL_student_conduct1.pdf_p13_c3,Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A,11 | 12 | 11 | 11 | 13,1 | 6 | 5 | 13 | 18,12 | 8 | 16 | 10 | 11,0.015141 | 0.014929 | 0.014271 | 0.013992 | 0.013453,Write a direct factual question answerable from the gold evidence.
V2Q007,When can a student be escalated to Stage Two under the Attendance Policy?,factual,easy,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1","Student Attendance Policy — Revised July 2025, Version 1.3",0.01639344262295082,True,True,True,0.2,1.0,True,1.0,0.027986600063741207,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p6_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c2 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p4_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c3","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3",7 | 6 | 7 | 4 | 7,1 | 3 | 6 | 8 | 13,1 | 2 | 3 | 4 | 6,0.016393 | 0.016001 | 0.015512 | 0.015165 | 0.014425,Write a direct factual question answerable from the gold evidence.
V2Q008,What happens after a student is notified that programme-fee payments remain outstanding under the 2026–27 Payment Policy?,procedural,medium,University of Liverpool Payment Policy 2026-27,"UOL_payment_policy_2026,2027.pdf_p7_c3",1,UOL_undergraduate_handbook.pdf_p36_c4,University of Liverpool Undergraduate Handbook,0.016133229247983348,False,False,False,0.0,0.0,False,0.0,0.03186909994110465,"UOL_undergraduate_handbook.pdf_p36_c4 | UOL_payment_policy_2026,2027.pdf_p1_c1 | UOL_payment_policy_2026,2027.pdf_p4_c3 | UOL_payment_policy_2026,2027.pdf_p3_c3 | UOL_postgraduate_handbook.pdf_p32_c4",University of Liverpool Undergraduate Handbook | University of Liverpool Payment Policy 2026-27 | University of Liverpool Payment Policy 2026-27 | University of Liverpool Payment Policy 2026-27 | University of Liverpool Postgraduate Handbook,36 | 1 | 4 | 3 | 32,3 | 2 | 5 | 13 | 18,1 | 4 | 8 | 2 | 3,0.016133 | 0.015877 | 0.015045 | 0.014914 | 0.014347,"Ask about a process, sequence, requirement, deadline or action described by the evidence."
V2Q009,How long does a responding student normally have to reply after receiving the investigation report and allegations before Chair's Action?,paraphrased,medium,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p15_c4,1,UOL_student_conduct1.pdf_p15_c4,Student Conduct Procedures — Appendix A,0.01639344262295082,True,True,True,0.2,1.0,True,1.0,0.0327914000954479,UOL_student_conduct1.pdf_p15_c4 | UOL_student_conduct1.pdf_p14_c1 | UOL_student_conduct1.pdf_p16_c3 | UOL_student_conduct1.pdf_p15_c3 | UOL_student_conduct1.pdf_p15_c5,Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A,15 | 14 | 16 | 15 | 15,1 | 8 | 3 | 10 | 5,1 | 2 | 10 | 3 | 9,0.016393 | 0.015417 | 0.015079 | 0.015079 | 0.014939,Write the question using wording different from the source while preserving the same meaning.
V2Q010,"What kinds of circumstances can the Attendance Policy treat as an authorised absence, subject to School approval?",paraphrased,medium,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c4",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c4","Student Attendance Policy — Revised July 2025, Version 1.3",0.016129032258064516,True,True,True,0.2,1.0,True,1.0,0.02973269997164607,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p5_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p4_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p6_c2","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3",5 | 5 | 5 | 4 | 6,2 | 1 | 13 | 6 | 10,2 | 5 | 1 | 9 | 6,0.016129 | 0.015889 | 0.015046 | 0.014822 | 0.014719,Write the question using wording different from the source while preserving the same meaning.
